property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Independent Builder Floor,BEST PRICE DEALS,sector 43,2.7,13953.0,1935.0,3,4,2,1.0,1,1,0,1,1,east,Semi-Furnished,New Property,0.3599807943436079,645.0,"28.4629° N, 77.0772° E",28.4629,77.0772
Flat,tarc maceo,sector 91,1.9,10204.0,1862.0,3,3,2,8.0,0,0,0,0,0,north-east,Unfurnished,Relatively New,0.1275465379242346,620.6666666666666,"28.4014° N, 76.9225° E",28.4014,76.9225
Flat,dlf new town heights 2,sector 86,2.0,10362.0,1930.0,3,3,3+,12.0,0,1,1,1,0,north,Unfurnished,Moderately Old,0.9255683164020548,643.3333333333334,"28.3986° N, 76.9384° E",28.3986,76.9384
Independent Builder Floor,Adani Brahma Samsara Vilasa,sector 63,3.6,17560.0,2050.0,3,3,2,2.0,0,1,0,0,0,south-east,Semi-Furnished,Relatively New,0.1441820199651446,683.3333333333334,"28.3971° N, 77.0867° E",28.3971,77.0867
Flat,indiabulls enigma,sector 110,4.8,14117.0,3400.0,4,5,3,7.0,0,1,0,0,0,north,Unfurnished,Moderately Old,0.3797279249866733,850.0,"28.5145° N, 77.0197° E",28.5145,77.0197
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.25,10031.0,3240.0,4,4,2,3.0,0,1,0,1,0,south-east,Unfurnished,Relatively New,0.7035177481526577,810.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,central park resorts,sector 48,3.85,27150.0,1418.0,2,2,3,11.0,0,0,0,0,0,east,Unfurnished,Relatively New,1.3649117126625223,709.0,"28.4177° N, 77.0359° E",28.4177,77.0359
Flat,dlf the ultima,sector 81,3.99,19072.0,2092.0,3,4,3+,22.0,0,1,0,0,0,east,Furnished,Relatively New,0.8438823305964576,697.3333333333334,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,dlf the ultima,sector 81,3.75,17848.0,2103.0,3,3,3,15.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0.3182478780282959,701.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent House,Unitech Deerwood Chase,sector 50,14.5,44753.0,3240.0,3,4,1,1.0,1,1,0,0,0,north,Semi-Furnished,Old Property,0.624979440256722,1080.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,tulip yellow,sector 69,2.34,13717.0,1704.0,3,3,3+,15.0,0,0,0,0,0,east,Furnished,New Property,1.3649117126625223,568.0,"28.3966° N, 77.0341° E",28.3966,77.0341
Flat,ats marigold,sector 89,2.1,12000.0,1750.0,3,3,3+,7.0,0,0,0,0,0,east,Unfurnished,New Property,0.6291116775416324,583.3333333333334,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent Builder Floor,"Block E sector 56, Gurgaon",sector 56,3.35,14255.0,3000.0,4,5,3,4.0,1,1,0,1,1,east,Semi-Furnished,New Property,0.3599807943436079,750.0,"28.4245° N, 77.0991° E",28.4245,77.0991
Independent House,"Nirvana Country, Gurgaon",sector 50,9.5,43981.0,2160.0,4,4,3+,2.0,0,1,0,0,0,not available,Unfurnished,Old Property,1.023909074080709,540.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,dlf regal gardens,sector 90,2.05,11801.0,1737.0,3,3,3+,16.0,0,0,1,0,0,east,Unfurnished,Relatively New,1.3649117126625223,579.0,"28.4085° N, 76.9369° E",28.4085,76.9369
Flat,pioneer park,sector 61,3.45,16747.0,2060.0,3,3,3,10.0,0,1,0,0,0,north-east,Unfurnished,Old Property,1.2505502797165031,686.6666666666666,"28.4050° N, 77.0963° E",28.405,77.0963
Flat,sri kirti apartments,sector 55,3.0,16216.0,1850.0,3,3,3+,5.0,0,1,0,0,0,north,Unfurnished,Old Property,0.5902469482903756,616.6666666666666,"28.4281° N, 77.1100° E",28.4281,77.11
Flat,aipl the peaceful homes,sector 70,4.15,17659.0,2350.0,3,4,3,19.0,0,1,0,0,0,north,Semi-Furnished,New Property,0.9907679081008612,783.3333333333334,"28.3968° N, 77.0233° E",28.3968,77.0233
Flat,ild greens,sector 37,1.98,7145.0,2771.0,3,4,3+,16.0,1,0,0,0,0,east,Unfurnished,New Property,1.073971561524118,923.6666666666666,"28.4375° N, 76.9999° E",28.4375,76.9999
Independent Builder Floor,"Sector 31, Gurgaon",sector 31,2.85,12391.0,2300.0,3,2,2,2.0,0,0,0,0,0,north-east,Unfurnished,New Property,0.1275465379242346,766.6666666666666,"28.4528° N, 77.0498° E",28.4528,77.0498
Independent House,Unitech Greenwood City,sector 45,8.25,33742.0,2445.0,3,3,2,1.0,1,1,0,1,1,east,Unfurnished,Relatively New,0.3465960199121562,815.0,"28.4466° N, 77.0660° E",28.4466,77.066
Flat,bestech park view grand spa,sector 81,4.1,12872.0,3185.0,4,5,2,12.0,0,1,0,0,0,north,Unfurnished,Moderately Old,0.1377911747804921,796.25,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent Builder Floor,Brand new ultra luxury builder floor,sector 26,7.48,16555.0,4518.0,4,4,2,2.0,0,1,0,0,1,north-west,Semi-Furnished,New Property,0.3465960199121562,1129.5,"28.4757° N, 77.1032° E",28.4757,77.1032
Independent House,International City by SOBHA Phase 2,sector 109,21.5,35655.0,6030.0,7,7,3+,3.0,0,1,1,1,0,north-east,Semi-Furnished,New Property,1.3274002576019963,861.4285714285714,"28.5073° N, 77.0089° E",28.5073,77.0089
Independent Builder Floor,"Supermart-1, Gurgaon",sector 28,4.1,16872.0,2430.0,4,4,2,4.0,1,1,0,0,0,south,Semi-Furnished,Relatively New,0.0,607.5,"28.4728° N, 77.0865° E",28.4728,77.0865
Independent House,"Ambedkar Nagar, Gurgaon",sector 9,2.0,11111.0,1800.0,6,3,2,1.0,0,0,0,0,0,south,Unfurnished,Moderately Old,0.0,300.0,"28.4603° N, 77.0000° E",28.4603,77.0
Independent House,"Sector 104, Gurgaon",sector 104,0.58,3905.0,1485.0,5,3,2,3.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,297.0,"28.4788° N, 76.9960° E",28.4788,76.996
Flat,bptp freedom park life,sector 57,3.6,13915.0,2587.0,3,4,3+,1.0,1,1,0,0,0,west,Semi-Furnished,Old Property,1.2646329416049191,862.3333333333334,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,greenopolis,sector 89,1.68,8584.0,1957.0,3,3,3,3.0,0,1,0,0,0,west,Unfurnished,New Property,0.7336370444592334,652.3333333333334,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent House,Tata Primanti,sector 72,12.0,17142.0,7000.0,4,6,3+,4.0,1,1,1,1,0,north-east,Furnished,Relatively New,1.0821888511340283,1750.0,"28.4225° N, 77.0211° E",28.4225,77.0211
Flat,m3m heights,sector 65,3.5,19146.0,1828.0,3,3,3,16.0,0,0,0,0,0,east,Semi-Furnished,New Property,0.6276018634651934,609.3333333333334,"28.4030° N, 77.0690° E",28.403,77.069
Independent Builder Floor,"Pocket E Sector 2 Palam Vihar, Gurgaon",sector 2,5.0,10684.0,4680.0,4,3,2,1.0,1,1,1,1,0,east,Furnished,New Property,1.15292774129128,1170.0,"28.5095° N, 77.0320° E",28.5095,77.032
Independent Builder Floor,Sushant lok 3,sector 57,2.09,8708.0,2400.0,3,2,3,1.0,0,0,0,1,1,south-west,Unfurnished,Moderately Old,0.2454587427462726,800.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,pareena express heights,sector 99,2.16,10200.0,2118.0,3,3,2,10.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.1275465379242346,706.0,"28.4640° N, 76.9614° E",28.464,76.9614
Independent House,Ansal API Esencia,sector 67,7.5,27778.0,2700.0,8,8,3+,3.0,1,1,0,1,1,west,Semi-Furnished,Relatively New,0.6931471805599453,337.5,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,"Sector 4, Gurgaon",sector 4,7.0,14141.0,4950.0,4,4,3+,2.0,1,0,1,0,0,south-east,Unfurnished,Relatively New,0.611456102491477,1237.5,"28.4738° N, 77.0107° E",28.4738,77.0107
Independent House,Bestech Park View Ananda,sector 81,8.5,34979.0,2430.0,5,6,3+,2.0,0,1,0,0,0,east,Unfurnished,New Property,0.9186276218600375,486.0,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,dlf the primus,sector 82,2.8,15564.0,1799.0,3,3,3+,22.0,0,0,0,0,0,north,Semi-Furnished,Relatively New,1.3649117126625223,599.6666666666666,"28.3935° N, 76.9600° E",28.3935,76.96
Independent Builder Floor,Smart World Gems,sector 89,1.58,11100.0,1423.0,3,3,2,2.0,1,0,1,0,0,east,Unfurnished,New Property,0.9131915948836504,474.3333333333333,"28.4253° N, 76.9439° E",28.4253,76.9439
Flat,imperia the esfera,sector 37,1.6,7862.0,2035.0,3,5,3+,10.0,1,1,0,0,0,east,Unfurnished,New Property,0.0,678.3333333333334,"28.4375° N, 76.9999° E",28.4375,76.9999
Flat,orchid petals,sector 49,2.95,16343.0,1805.0,3,3,3,5.0,0,0,0,0,0,north,Unfurnished,Moderately Old,0.0,601.6666666666666,"28.4121° N, 77.0480° E",28.4121,77.048
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,4.4,13580.0,3240.0,4,4,2,2.0,0,1,0,0,0,not available,Unfurnished,Relatively New,0.2005506196427038,810.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Independent Builder Floor,"Block N South City 1, Gurgaon",sector 41,2.56,18962.0,1600.0,3,3,2,2.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,0.5468117935675189,533.3333333333334,"28.4557° N, 77.0632° E",28.4557,77.0632
Independent House,g block palam vihar,sector 1,11.0,23504.0,4680.0,5,6,3,2.0,1,1,0,0,1,east,Furnished,Moderately Old,0.8813867260549119,936.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent Builder Floor,DLF Phase 1 Ultra Luxury Builder Floors,sector 26,4.55,21162.0,2700.0,4,4,2,4.0,1,1,0,1,1,north,Unfurnished,New Property,1.3428894346444569,675.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Flat,la vida by tata housing,sector 113,4.1,15241.0,2690.0,3,4,3,24.0,1,1,0,0,0,east,Unfurnished,Relatively New,0.2769167869717719,896.6666666666666,"28.5287° N, 77.0233° E",28.5287,77.0233
Flat,ireo the corridors,sector 67,2.5,16233.0,1540.0,2,2,2,4.0,1,0,0,0,0,east,Unfurnished,Relatively New,0.0,770.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,smart world gems,sector 89,1.59,10642.0,1494.0,3,3,3,2.0,0,0,0,0,1,east,Unfurnished,Relatively New,1.3649117126625223,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Flat,conscient elevate,sector 59,5.6,24400.0,2295.0,3,3,2,5.0,0,0,0,0,0,not available,Unfurnished,New Property,0.1275465379242346,765.0,"28.4051° N, 77.1097° E",28.4051,77.1097
Independent House,Anant Raj Estates,sector 63,13.75,32506.0,4230.0,5,6,3+,3.0,1,1,0,1,0,north,Unfurnished,Relatively New,1.1521232480041437,846.0,"28.3971° N, 77.0867° E",28.3971,77.0867
Flat,oriental valley chs,sector 9,1.75,8750.0,2000.0,4,3,3,8.0,0,1,0,0,0,not available,Unfurnished,Moderately Old,0.0,500.0,"28.4603° N, 77.0000° E",28.4603,77.0
Independent Builder Floor,"Sector 46, Gurgaon",sector 46,4.25,13807.0,3078.0,4,4,1,0.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.1275465379242346,769.5,"28.4374° N, 77.0586° E",28.4374,77.0586
Flat,sobha city,sector 108,4.25,20511.0,2072.0,3,4,3,11.0,0,0,0,0,0,north,Unfurnished,New Property,0.1275465379242346,690.6666666666666,"28.5134° N, 76.9830° E",28.5134,76.983
Independent Builder Floor,"Sector 15 Part 2, Gurgaon",sector 15,4.8,10624.0,4518.0,4,5,2,3.0,0,0,0,1,0,not available,Semi-Furnished,New Property,0.6208807627921159,1129.5,"28.4621° N, 77.0464° E",28.4621,77.0464
Flat,conscient elevate,sector 59,5.05,43572.0,1810.0,3,3,1,7.0,0,0,0,0,0,east,Furnished,Relatively New,1.329549291364257,603.3333333333334,"28.4051° N, 77.1097° E",28.4051,77.1097
Independent Builder Floor,"Sector 51, Gurgaon",sector 51,2.7,15000.0,1800.0,3,3,2,4.0,0,0,0,0,1,north-east,Semi-Furnished,New Property,0.6936659139190577,600.0,"28.4320° N, 77.0686° E",28.432,77.0686
Independent House,"Sector 45, Gurgaon",sector 45,9.0,38023.0,2367.0,5,5,2,3.0,0,0,0,1,0,north-east,Unfurnished,Moderately Old,0.7429700547868098,473.4,"28.4466° N, 77.0660° E",28.4466,77.066
Independent House,"DLF Phase 4, Gurgaon",sector 28,23.9,53111.0,4500.0,5,5,3+,3.0,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0.8813867260549119,900.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Flat,bestech park view grand spa,sector 81,4.49,12939.0,3470.0,4,6,3,14.0,1,1,0,0,0,west,Unfurnished,Moderately Old,0.5854779221408425,867.5,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent Builder Floor,Signature Global Park,sector 33,1.0,9250.0,1081.0,2,2,3,3.0,1,0,0,0,0,west,Unfurnished,New Property,0.3466627243780449,540.5,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,Bptp Visionnaire,sector 70,6.1,23291.0,2619.0,4,4,3+,2.0,1,1,0,1,0,north-east,Unfurnished,New Property,1.1198013018788495,654.75,"28.3968° N, 77.0233° E",28.3968,77.0233
Flat,unitech fresco,sector 50,2.75,14978.0,1836.0,3,3,3+,7.0,0,0,0,0,0,north,Semi-Furnished,Moderately Old,0.6802817558898193,612.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,unitech uniworld gardens,sector 47,3.7,16349.0,2416.0,4,4,3+,9.0,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0.079055282739243,604.0,"28.4276° N, 77.0492° E",28.4276,77.0492
Independent House,"Sector 23, Gurgaon",sector 23,4.45,30021.0,1449.0,5,5,3+,2.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,289.8,"28.5121° N, 77.0478° E",28.5121,77.0478
Flat,la vida by tata housing,sector 113,3.9,14498.0,2690.0,3,3,3,17.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.0,896.6666666666666,"28.5287° N, 77.0233° E",28.5287,77.0233
Flat,central park resorts,sector 48,7.35,29829.0,2464.0,3,3,3+,2.0,1,1,0,1,0,north-east,Semi-Furnished,Moderately Old,0.6641457701165375,821.3333333333334,"28.4177° N, 77.0359° E",28.4177,77.0359
Independent House,Unitech Nirvana Birch Court,sector 50,13.5,41666.0,3240.0,5,5,3,3.0,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0.3983328154315683,648.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent Builder Floor,"Sector 70, Gurgaon",sector 70,1.9,13620.0,1395.0,3,2,2,1.0,0,0,0,1,0,east,Semi-Furnished,New Property,0.6953146412398001,465.0,"28.3968° N, 77.0233° E",28.3968,77.0233
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.25,15046.0,2160.0,3,4,2,1.0,0,1,0,1,0,north-east,Semi-Furnished,New Property,0.6549749741350919,720.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent House,"Vishnu Garden, Gurgaon",sector 105,0.77,12833.0,600.0,3,3,2,2.0,0,0,0,0,0,south,Unfurnished,Relatively New,0.0,200.0,"28.4952° N, 77.0114° E",28.4952,77.0114
Independent House,"Block M South City 1, Gurgaon",sector 41,11.25,22058.0,3240.0,5,6,3+,3.0,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,1.3649117126625223,648.0,"28.4557° N, 77.0632° E",28.4557,77.0632
Independent House,DLF,sector 24,17.0,37627.0,4518.0,7,9,3+,2.0,1,1,1,1,0,north,Semi-Furnished,New Property,1.1927496826860424,645.4285714285714,"28.4939° N, 77.1038° E",28.4939,77.1038
Independent House,Shyam Kunj,bhondsi,0.9,9090.0,990.0,2,2,1,2.0,1,0,0,1,0,east,Unfurnished,Relatively New,0.0,495.0,"28.3510° N, 77.0615° E",28.351,77.0615
Flat,ats triumph,sector 104,3.9,12380.0,3150.0,4,5,3+,18.0,0,1,0,0,0,north-east,Unfurnished,Relatively New,0.8394911871307446,787.5,"28.4788° N, 76.9960° E",28.4788,76.996
Independent House,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,15.0,42735.0,3510.0,12,12,2,2.0,1,1,1,0,0,north,Unfurnished,Moderately Old,0.1275465379242346,292.5,"28.4629° N, 77.0772° E",28.4629,77.0772
Flat,experion windchants,sector 112,4.65,16595.0,2802.0,3,3,2,12.0,0,1,0,0,0,north,Unfurnished,New Property,0.7336370444592334,934.0,"28.5189° N, 77.0183° E",28.5189,77.0183
Independent House,Ansals Palam Vihar,sector 1,4.1,27617.0,1557.0,6,5,3+,3.0,0,0,1,0,0,north,Semi-Furnished,Moderately Old,0.4384983583909746,259.5,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,godrej meridien,sector 106,2.8,15094.0,1855.0,3,3,3+,12.0,0,0,0,0,0,east,Unfurnished,New Property,1.3649117126625223,618.3333333333334,"28.5007° N, 77.0003° E",28.5007,77.0003
Independent Builder Floor,Private Builder Floor,sector 49,4.11,11742.0,3500.0,4,4,2,4.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,1.198514538834199,875.0,"28.4121° N, 77.0480° E",28.4121,77.048
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,4.0,16899.0,2367.0,4,4,2,1.0,1,1,0,1,0,south-west,Unfurnished,Relatively New,0.7038444769006924,591.75,"28.4466° N, 77.0660° E",28.4466,77.066
Independent Builder Floor,BPTP Astaire Gardens,sector 70,2.22,13058.0,1700.0,3,3,2,2.0,0,1,0,1,0,east,Semi-Furnished,New Property,1.2355537409277977,566.6666666666666,"28.3968° N, 77.0233° E",28.3968,77.0233
Flat,dlf the crest,sector 54,16.7,53474.0,3123.0,4,6,3,17.0,0,1,0,0,0,west,Semi-Furnished,Relatively New,0.674387405530682,780.75,"28.4348° N, 77.1089° E",28.4348,77.1089
Independent House,Unitech Uniworld Resorts,sector 33,15.0,33333.0,4500.0,5,4,2,3.0,0,1,1,0,0,north-east,Semi-Furnished,Moderately Old,0.8857926206955359,900.0,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,"Sector 4, Gurgaon",sector 4,4.8,21333.0,2250.0,6,4,3+,3.0,1,0,0,0,0,not available,Unfurnished,Old Property,0.9159510515478152,375.0,"28.4738° N, 77.0107° E",28.4738,77.0107
Flat,spaze privy at4,sector 84,2.1,12034.0,1745.0,3,4,3+,1.0,0,0,0,1,0,east,Unfurnished,Relatively New,0.1275465379242346,581.6666666666666,"28.3979° N, 76.9736° E",28.3979,76.9736
Independent House,"Nirvana Country, Gurgaon",sector 50,11.25,52083.0,2160.0,6,7,3+,3.0,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1.3649117126625223,360.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent House,"Surya Vihar, Gurgaon",sector 21,0.4,8888.0,450.0,2,3,0,2.0,0,0,0,0,0,south,Unfurnished,Moderately Old,0.0,225.0,"28.5134° N, 77.0723° E",28.5134,77.0723
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,4.0,15873.0,2700.0,4,4,2,2.0,1,0,0,1,0,north,Semi-Furnished,New Property,0.1275465379242346,675.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,8.0,17777.0,4500.0,4,5,2,4.0,1,1,0,1,1,north-east,Semi-Furnished,Relatively New,0.3599807943436079,1125.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Independent Builder Floor,DLF Floors Phase 3,sector 24,6.5,14444.0,4500.0,4,4,3+,1.0,1,1,1,1,0,east,Semi-Furnished,New Property,0.9343530369567014,1125.0,"28.4939° N, 77.1038° E",28.4939,77.1038
Independent Builder Floor,Unitech Greenwood City,sector 45,2.9,13152.0,2205.0,3,3,3,4.0,1,1,1,1,0,east,Semi-Furnished,New Property,0.800858704016805,735.0,"28.4466° N, 77.0660° E",28.4466,77.066
Flat,m3m heights,sector 65,2.25,17842.0,1261.0,2,2,3,12.0,0,0,1,0,0,east,Semi-Furnished,Relatively New,1.3649117126625223,630.5,"28.4030° N, 77.0690° E",28.403,77.069
Flat,tata primanti,sector 72,4.68,17828.0,2625.0,4,5,3+,15.0,0,1,0,0,0,east,Semi-Furnished,Relatively New,1.3649117126625223,656.25,"28.4225° N, 77.0211° E",28.4225,77.0211
Flat,ireo skyon,sector 60,4.5,21603.0,2083.0,3,4,3+,6.0,0,1,0,0,0,south,Semi-Furnished,Moderately Old,1.195208091105049,694.3333333333334,"28.4003° N, 77.0975° E",28.4003,77.0975
Independent Builder Floor,GPS Atulyam Homes,sector 83,2.29,12722.0,1800.0,3,3,2,1.0,0,1,0,0,0,east,Unfurnished,New Property,0.0188773010526779,600.0,"28.3986° N, 76.9647° E",28.3986,76.9647
Flat,ireo the corridors,sector 67,2.99,17313.0,1727.0,3,3,2,7.0,0,0,0,1,1,east,Furnished,New Property,1.329549291364257,575.6666666666666,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,tulip violet,sector 69,2.25,14258.0,1578.0,3,3,2,5.0,0,0,0,1,0,east,Unfurnished,New Property,1.3649117126625223,526.0,"28.3966° N, 77.0341° E",28.3966,77.0341
Independent House,"DLF Phase 1, Gurgaon",sector 26,18.0,40000.0,4500.0,6,7,3,3.0,1,1,0,1,1,north,Semi-Furnished,Relatively New,0.8813867260549119,750.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Independent Builder Floor,Smart World Gems,sector 89,1.63,10910.0,1494.0,3,3,2,1.0,1,0,0,0,0,north,Unfurnished,New Property,1.3251463122450713,498.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent House,"Sector-22A, Gurgaon",sector 22,6.5,27461.0,2367.0,8,8,3+,3.0,0,0,1,1,0,west,Semi-Furnished,Moderately Old,1.1469531156023922,295.875,"28.5072° N, 77.0640° E",28.5072,77.064
Flat,pyramid urban,sector 67,0.78,8722.0,900.0,2,2,2,8.0,0,0,0,0,1,north-east,Unfurnished,Relatively New,1.2884526778760916,450.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,The Penthouses at the Hibiscus,sector 50,14.0,14000.0,10000.0,5,7,3+,2.0,0,1,0,0,0,east,Semi-Furnished,New Property,0.9782197190622832,2000.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,paras dews,sector 106,1.6,11552.0,1385.0,2,2,2,0.0,0,0,0,0,0,north,Unfurnished,Relatively New,0.1275465379242346,692.5,"28.5007° N, 77.0003° E",28.5007,77.0003
Flat,godrej 101,sector 79,1.55,11207.0,1383.0,2,2,3,7.0,0,0,0,0,0,south-east,Unfurnished,Relatively New,0.7742053376570688,691.5,"28.3624° N, 76.9787° E",28.3624,76.9787
Flat,tulip purple,sector 69,2.76,11499.0,2400.0,4,5,3+,1.0,0,1,0,0,0,south,Unfurnished,Moderately Old,0.8505137082598576,600.0,"28.3966° N, 77.0341° E",28.3966,77.0341
Independent House,Unitech Espace,sector 50,16.0,49383.0,3240.0,6,6,3+,2.0,1,1,1,1,0,east,Semi-Furnished,Old Property,1.2831849785227611,540.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent House,"New Palam Vihar, Gurgaon",sector 110,1.3,14444.0,900.0,4,4,1,3.0,0,0,0,0,0,north,Unfurnished,Relatively New,0.0,225.0,"28.5145° N, 77.0197° E",28.5145,77.0197
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,4.55,16852.0,2700.0,4,5,2,4.0,1,1,0,1,0,west,Semi-Furnished,New Property,0.3599807943436079,675.0,"28.4629° N, 77.0772° E",28.4629,77.0772
Flat,bptp park serene,sector 37,2.64,10775.0,2450.0,4,4,3+,6.0,0,1,0,0,0,east,Unfurnished,Relatively New,1.198514538834199,612.5,"28.4375° N, 76.9999° E",28.4375,76.9999
Independent House,"Palam Vihar, Gurgaon",sector 1,6.75,20833.0,3240.0,8,6,3+,3.0,1,1,1,1,0,south-west,Unfurnished,Moderately Old,0.0,405.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,shapoorji pallonji joyville gurugram,sector 102,2.55,13768.0,1852.0,3,3,3,1.0,0,0,0,0,1,north-east,Unfurnished,Relatively New,0.764106670443755,617.3333333333334,"28.4750° N, 76.9715° E",28.475,76.9715
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.34,15000.0,2300.0,3,3,2,1.0,1,0,0,0,0,north,Semi-Furnished,Relatively New,0.3465960199121562,766.6666666666666,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent House,National Media Centre,sector 24,8.0,37037.0,2160.0,4,4,3+,2.0,0,1,1,0,0,east,Unfurnished,Old Property,0.5525830297091393,540.0,"28.4939° N, 77.1038° E",28.4939,77.1038
Flat,m3m golfestate,sector 65,9.25,23663.0,3909.0,3,4,2,35.0,1,1,1,1,0,north,Furnished,Relatively New,1.3649117126625223,1303.0,"28.4030° N, 77.0690° E",28.403,77.069
Flat,tulip yellow,sector 69,2.3,13497.0,1704.0,3,3,3+,6.0,0,0,0,1,0,north-east,Unfurnished,New Property,1.3649117126625223,568.0,"28.3966° N, 77.0341° E",28.3966,77.0341
Flat,emaar mgf the palm drive,sector 66,3.5,16470.0,2125.0,4,4,3,8.0,0,1,0,0,0,east,Semi-Furnished,Relatively New,0.1275465379242346,531.25,"28.3925° N, 77.0541° E",28.3925,77.0541
Flat,vigyan vihar sector 56,sector 56,2.61,17400.0,1950.0,4,3,3,1.0,0,0,0,0,0,north,Unfurnished,Moderately Old,0.8814258015291955,487.5,"28.4245° N, 77.0991° E",28.4245,77.0991
Flat,adani m2k oyster grande,sector 102,5.75,12972.0,4548.0,4,4,3+,14.0,0,1,0,1,0,south-west,Semi-Furnished,Relatively New,1.241077710345214,1137.0,"28.4750° N, 76.9715° E",28.475,76.9715
Flat,bestech park view ananda,sector 81,2.09,11546.0,1810.0,3,3,3+,12.0,1,0,1,1,0,south-east,Unfurnished,Moderately Old,1.3065208782084048,603.3333333333334,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent Builder Floor,Mayfield Gardens,sector 50,1.99,7370.0,2700.0,3,3,2,2.0,1,1,0,1,1,east,Unfurnished,Moderately Old,0.3465960199121562,900.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,shapoorji pallonji joyville gurugram,sector 102,2.42,14302.0,1692.0,3,3,3,14.0,0,0,0,0,0,south,Unfurnished,Relatively New,0.2769167869717719,564.0,"28.4750° N, 76.9715° E",28.475,76.9715
Independent Builder Floor,"Sector 40, Gurgaon",sector 40,2.96,12869.0,2300.0,3,3,2,3.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,0.5468117935675189,766.6666666666666,"28.4498° N, 77.0567° E",28.4498,77.0567
Flat,mapsko royale ville,sector 82,1.8,7709.0,1790.0,3,4,2,16.0,0,1,0,0,0,north-west,Unfurnished,Relatively New,0.4031353523082967,596.6666666666666,"28.3935° N, 76.9600° E",28.3935,76.96
Independent Builder Floor,"Sector 55, Gurgaon",sector 55,3.45,12777.0,2700.0,4,4,2,2.0,0,1,0,0,0,east,Semi-Furnished,New Property,0.5468117935675189,675.0,"28.4281° N, 77.1100° E",28.4281,77.11
