property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Independent House,Sector 14 RWA,sector 14,4.25,29514.0,1440.0,6,6,3+,2.0,0,0,0,0,0,west,Unfurnished,Moderately Old,0.2454587427462726,240.0,"28.4711° N, 77.0454° E",28.4711,77.0454
Independent House,International City by Sobha Phase 1,sector 109,18.0,24556.0,7330.0,5,6,3+,2.0,1,1,1,0,0,north-east,Unfurnished,Relatively New,1.1198013018788495,1466.0,"28.5073° N, 77.0089° E",28.5073,77.0089
Flat,bptp park serene,sector 37,2.65,10816.0,2450.0,4,4,3+,5.0,0,1,0,0,0,east,Unfurnished,Relatively New,1.3274002576019963,612.5,"28.4375° N, 76.9999° E",28.4375,76.9999
Independent House,"DLF Phase 4, Gurgaon",sector 28,12.5,38580.0,3240.0,4,5,3+,3.0,0,1,0,0,0,north-west,Unfurnished,Moderately Old,0.8813867260549119,810.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Flat,bestech altura,sector 79,2.8,13023.0,2150.0,3,4,3,5.0,0,1,0,0,0,north-east,Unfurnished,New Property,0.0,716.6666666666666,"28.3624° N, 76.9787° E",28.3624,76.9787
Flat,lotus elise,sector 99,1.48,10206.0,1450.0,2,2,2,7.0,0,1,0,0,0,north-east,Unfurnished,Relatively New,0.1275465379242346,725.0,"28.4640° N, 76.9614° E",28.464,76.9614
Independent House,Orchid Island,sector 51,2.65,9201.0,2880.0,3,4,3,3.0,1,0,1,1,0,north-east,Unfurnished,Moderately Old,0.9558379519504698,960.0,"28.4320° N, 77.0686° E",28.432,77.0686
Flat,ats triumph,sector 104,3.9,18624.0,3150.0,4,4,3+,10.0,1,1,0,0,0,not available,Unfurnished,Relatively New,0.0,787.5,"28.4788° N, 76.9960° E",28.4788,76.996
Independent Builder Floor,Ansal API Esencia,sector 67,1.55,10689.0,1450.0,3,2,3,1.0,0,0,0,0,0,east,Unfurnished,Relatively New,1.3649117126625223,483.3333333333333,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,International City by SOBHA Phase 2,sector 109,9.0,20000.0,4500.0,4,6,3+,4.0,1,1,0,1,1,north-west,Unfurnished,New Property,1.217429031653888,1125.0,"28.5073° N, 77.0089° E",28.5073,77.0089
