property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Flat,eldeco acclaim,sector 33,1.65,1457.0,2,2,3+,High-rise,1,0,0,0,0,north-west,Furnished,Relatively New,0,1,1,1,728.5,0,Luxury
Flat,the close north,sector 50,4.45,2605.0,3,4,3,Mid-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0,1,1,1,868.3333333333334,0,Luxury
Independent Builder Floor,M3M Soulitude,sector 89,1.32,1157.0,2,2,2,Low-rise,1,0,0,0,0,north-west,Unfurnished,New Property,0,1,1,1,578.5,0,Luxury
Independent Builder Floor,DLF Phase - 1,sector 26,5.3,2350.0,4,5,2,Low-rise,0,0,0,0,1,north-east,Semi-Furnished,Relatively New,1,1,0,1,587.5,0,Budget
Flat,emaar palm gardens,sector 83,2.2,1720.0,3,3,3,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,573.3333333333334,0,Budget
Flat,m3m heights,sector 65,2.8,1516.0,2,2,2,High-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,0,1,758.0,0,Semi-Luxury
Flat,vatika sovereign park,sector 99,4.71,3360.0,4,4,3+,Mid-rise,0,1,0,0,0,west,Unfurnished,Relatively New,0,1,1,1,840.0,0,Semi-Luxury
Flat,tata primanti,sector 72,4.65,2625.0,4,5,3+,High-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,656.25,0,Luxury
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,2.7,1950.0,3,3,2,Low-rise,0,1,0,1,1,east,Semi-Furnished,Relatively New,0,1,1,1,650.0,0,Budget
Independent House,Bptp Visionnaire,sector 70,6.3,6000.0,4,4,3+,Low-rise,1,1,1,1,0,north,Unfurnished,Relatively New,1,0,1,1,1500.0,0,Luxury
Flat,dlf regal gardens,sector 90,2.0,1737.0,3,3,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,579.0,0,Luxury
Flat,hero homes,sector 104,1.55,1099.0,2,2,2,Mid-rise,0,0,0,1,1,north-east,Semi-Furnished,New Property,0,1,1,1,549.5,0,Budget
Independent Builder Floor,Unitech South City 2,sector 50,4.25,3240.0,4,4,2,Low-rise,0,1,0,1,0,north-east,Unfurnished,New Property,1,1,0,1,810.0,0,Budget
Flat,ireo the corridors,sector 67,2.59,1484.0,2,2,2,Mid-rise,1,0,0,1,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,742.0,0,Luxury
Flat,emaar palm heights,sector 77,2.82,1550.0,3,3,3,High-rise,0,1,0,0,0,west,Unfurnished,Relatively New,1,1,0,1,516.6666666666666,0,Budget
Independent House,Celebrity Homes,sector 1,5.25,3500.0,4,4,2,Low-rise,0,1,1,0,0,north,Unfurnished,Old Property,1,1,1,0,875.0,0,Luxury
Flat,indiabulls centrum park,sector 103,2.05,1900.0,3,3,3+,High-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,633.3333333333334,0,Budget
Independent House,"Sector 55, Gurgaon",sector 55,21.0,6300.0,3,3,3,Low-rise,1,1,1,1,0,north-east,Furnished,New Property,1,1,1,0,2100.0,0,Luxury
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.2,2160.0,3,3,1,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,1,1,0,1,720.0,0,Luxury
Flat,tulip violet,sector 69,3.2,2010.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,Moderately Old,0,1,1,1,502.5,0,Semi-Luxury
Independent Builder Floor,DLF Alameda,sector 73,7.5,4500.0,4,4,2,Low-rise,1,1,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,1125.0,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.35,3240.0,4,4,2,Low-rise,1,1,0,1,1,south,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Independent House,Eros City Square,sector 49,5.89,1728.0,4,3,2,Low-rise,0,0,0,1,1,south-east,Semi-Furnished,Relatively New,1,0,1,1,432.0,0,Luxury
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,4.1,4518.0,4,5,2,Low-rise,1,1,0,1,1,south-east,Unfurnished,Relatively New,1,0,1,1,1129.5,0,Semi-Luxury
Flat,vatika sovereign park,sector 99,4.37,3460.0,4,4,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,865.0,0,Semi-Luxury
Flat,experion windchants,sector 112,7.9,6325.0,5,6,3+,Low-rise,0,1,0,1,0,east,Unfurnished,Relatively New,0,1,1,1,1265.0,0,Semi-Luxury
Independent House,"Nirvana Country, Gurgaon",sector 50,14.0,3240.0,4,4,0,Low-rise,1,1,0,0,0,north,Furnished,Old Property,1,1,1,0,810.0,0,Semi-Luxury
Independent Builder Floor,Emaar MGF Emerald Floors Premier,sector 65,4.0,1975.0,4,4,3,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,493.75,0,Semi-Luxury
Independent House,urban Home,sector 105,0.8,600.0,2,2,1,Low-rise,0,0,0,0,0,north-west,Unfurnished,Under Construction,1,0,0,0,300.0,0,Budget
Independent House,Vipul Tatvam Villa,sector 48,21.0,6768.0,5,6,3,Low-rise,0,1,1,0,0,north-east,Semi-Furnished,Relatively New,1,1,1,0,1353.6,0,Luxury
Flat,bestech park view grand spa,sector 81,3.49,2660.0,3,4,3+,Low-rise,0,1,0,0,0,west,Unfurnished,Relatively New,0,1,1,1,886.6666666666666,0,Semi-Luxury
Flat,vatika sovereign park,sector 99,3.65,2780.0,3,5,3+,High-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,926.6666666666666,0,Budget
Independent House,"Sushant Lok 2,Sector 55, Gurgaon",sector 55,6.1,1836.0,6,6,2,Low-rise,0,0,0,1,0,east,Unfurnished,Relatively New,1,1,1,0,306.0,0,Semi-Luxury
Flat,spaze kalistaa,sector 84,3.5,3200.0,3,6,3,Mid-rise,1,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,1066.6666666666667,0,Budget
Independent House,"Saraswati Enclave, Gurgaon",sector 37,1.1,882.0,2,2,0,Low-rise,0,0,0,0,0,west,Unfurnished,New Property,1,1,1,0,441.0,0,Budget
Independent House,"Sector 45, Gurgaon",sector 45,9.0,3078.0,9,9,2,Low-rise,0,0,0,1,0,north-west,Unfurnished,Moderately Old,1,1,1,0,342.0,0,Semi-Luxury
Independent House,"Sushant Lok Phase 1, Gurgaon",sector 43,12.0,3762.0,5,6,3+,Low-rise,0,1,1,1,0,north,Unfurnished,Relatively New,1,1,1,0,752.4,0,Luxury
Flat,ireo the grand arch,sector 58,4.9,2164.0,3,4,2,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,721.3333333333334,0,Luxury
Flat,central park flower valley flamingo floors,sector 33,1.58,1100.0,2,2,3+,Low-rise,1,0,0,0,0,north,Unfurnished,Relatively New,1,0,1,1,550.0,0,Semi-Luxury
Independent House,"Block M DLF phase 2, Gurgaon",sector 25,16.0,3618.0,8,8,3+,Low-rise,0,1,0,1,0,east,Unfurnished,Moderately Old,1,1,1,0,452.25,0,Budget
Independent House,trimurti villas bhiwadi,sector 24,0.95,972.0,4,4,3+,Low-rise,1,1,1,1,0,east,Unfurnished,New Property,1,1,1,0,243.0,1,Luxury
Independent House,Mapsko Casa Bella,sector 82,5.75,2700.0,4,4,3+,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,1,1,1,0,675.0,0,Semi-Luxury
Flat,sare crescent parc,sector 92,1.75,1995.0,4,4,3,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,498.75,0,Budget
Independent Builder Floor,BPTP Astaire Gardens,sector 70,1.85,1600.0,3,2,2,Low-rise,0,1,0,1,1,east,Semi-Furnished,New Property,0,1,1,1,533.3333333333334,0,Budget
Flat,emaar mgf the palm drive,sector 66,3.6,1950.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,650.0,0,Budget
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,737.5,0,Semi-Luxury
