property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Flat,unitech the residences,sector 33,2.5,1545.0,3,4,2,Low-rise,0,1,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,515.0,0,Budget
Independent House,"V Block DLF Phase 3, Gurgaon",sector 24,11.0,2844.0,6,7,3+,Low-rise,0,1,0,0,0,north-east,Furnished,Old Property,1,1,1,0,474.0,0,Budget
Flat,smart world orchard,sector 61,2.64,1600.0,3,3,3,Low-rise,0,1,0,1,0,north-east,Unfurnished,New Property,1,1,0,1,533.3333333333334,0,Luxury
Flat,ats triumph,sector 104,4.49,3150.0,4,4,3+,High-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,787.5,0,Budget
Independent House,Satya The Legend,sector 57,12.75,4050.0,5,6,3+,Low-rise,1,1,0,1,1,east,Unfurnished,Old Property,1,1,1,0,810.0,0,Semi-Luxury
Independent House,"Sector 39, Gurgaon",sector 39,3.3,2700.0,7,6,3+,Low-rise,0,0,0,0,0,west,Unfurnished,Moderately Old,1,1,1,0,385.7142857142857,0,Budget
Independent House,Sushant lok 3 Gurgaon,sector 57,6.25,2160.0,6,6,3+,Low-rise,0,0,1,0,0,south,Unfurnished,Old Property,1,1,1,0,360.0,0,Luxury
Independent House,Smart World Gems,sector 89,1.54,1494.0,3,3,3,Low-rise,0,0,0,0,1,east,Unfurnished,New Property,1,0,1,1,498.0,0,Budget
Flat,dlf new town heights 1,sector 90,2.15,1928.0,3,3,3,Low-rise,0,1,0,0,0,east,Unfurnished,Old Property,0,1,1,1,642.6666666666666,0,Budget
Flat,ireo the corridors,sector 67,2.77,1540.0,2,2,2,Mid-rise,1,0,0,0,1,north,Unfurnished,Relatively New,0,1,1,1,770.0,0,Budget
Independent House,"Sector 43, Gurgaon",sector 43,6.65,1449.0,3,3,3+,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,483.0,0,Semi-Luxury
Flat,bestech park view sanskruti,sector 92,2.25,1995.0,3,4,3,High-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,665.0,0,Luxury
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.5,3240.0,4,5,3+,Low-rise,1,1,1,1,0,west,Unfurnished,Relatively New,1,0,1,1,810.0,0,Semi-Luxury
Flat,chintels serenity,sector 109,2.75,1955.0,3,4,3+,Mid-rise,0,1,0,1,0,west,Unfurnished,New Property,0,1,1,1,651.6666666666666,0,Semi-Luxury
Independent Builder Floor,Ansal API Esencia,sector 67,2.5,2200.0,4,4,3+,Low-rise,0,0,0,1,0,north-east,Unfurnished,Relatively New,1,1,0,1,550.0,0,Luxury
Flat,the close north,sector 50,3.6,2093.0,3,3,3,Mid-rise,0,0,0,0,1,north-east,Semi-Furnished,Old Property,0,1,1,1,697.6666666666666,0,Luxury
Flat,sobha city,sector 108,4.86,2343.0,3,5,2,Mid-rise,0,1,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,781.0,0,Budget
Independent Builder Floor,sector 49,sector 49,3.05,2450.0,4,4,2,Low-rise,0,1,0,1,1,north-east,Semi-Furnished,New Property,1,0,1,1,612.5,0,Luxury
Flat,emaar mgf the vilas,sector 25,15.0,3900.0,4,4,3+,Mid-rise,1,1,1,1,0,east,Furnished,Moderately Old,1,1,0,1,975.0,0,Semi-Luxury
Independent Builder Floor,Ansal Sushant Lok 2,sector 56,3.49,2700.0,4,4,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,675.0,0,Luxury
Independent House,"DLF Phase 3, Gurgaon",sector 24,10.15,2844.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,568.8,0,Luxury
Independent Builder Floor,"Sector 67A, Gurgaon",sector 67,2.8,2300.0,4,4,2,Low-rise,1,1,0,1,1,west,Furnished,New Property,1,1,0,1,575.0,0,Luxury
Independent Builder Floor,Ansal Sushant Residency,sector 57,7.45,7659.0,5,6,2,Low-rise,0,1,1,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,1531.8,0,Luxury
Independent House,"Vishnu Garden, Gurgaon",sector 105,1.2,864.0,3,3,2,Low-rise,0,0,0,0,0,west,Unfurnished,Relatively New,1,1,1,0,288.0,0,Budget
Independent Builder Floor,Smart World Gems,sector 89,1.35,1103.0,2,2,2,Low-rise,1,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,551.5,0,Luxury
Flat,tdi ourania,sector 53,3.75,1980.0,3,5,3,Low-rise,0,1,0,0,0,not available,Furnished,Moderately Old,0,1,1,1,660.0,0,Budget
Independent House,International City by Sobha Phase 1,sector 109,8.75,2430.0,5,4,3+,Low-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,486.0,0,Semi-Luxury
Independent House,MV Buildcon Precore City,sector 33,0.99,1300.0,5,3,3,Low-rise,0,0,0,0,1,east,Unfurnished,New Property,1,0,0,0,260.0,1,Semi-Luxury
Independent House,DLF City Plots,sector 26,35.0,4500.0,7,9,3+,Low-rise,1,1,0,1,0,east,Unfurnished,Moderately Old,1,1,1,0,642.8571428571429,0,Luxury
Independent House,BPTP Amstoria,sector 102,3.3,2727.0,3,3,2,Low-rise,0,0,0,0,0,east,Unfurnished,Relatively New,1,0,0,0,909.0,0,Semi-Luxury
Independent Builder Floor,Ansals Palam Vihar,sector 1,3.5,3240.0,4,4,2,Low-rise,0,0,0,1,0,north-east,Unfurnished,New Property,0,1,1,1,810.0,0,Semi-Luxury
Independent Builder Floor,"Block C Sushant Lok Phase - 3, Gurgaon",sector 57,3.8,2700.0,4,4,2,Low-rise,0,0,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,675.0,0,Budget
Flat,mapsko casa bella,sector 82,1.6,1430.0,3,3,3,Low-rise,0,0,1,0,0,east,Unfurnished,Old Property,0,1,1,1,476.6666666666667,0,Semi-Luxury
Independent House,dlf 1,sector 26,5.5,981.0,3,3,2,Low-rise,0,0,0,1,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,327.0,0,Semi-Luxury
Independent House,BPTP Astaire Gardens,sector 70,6.5,2610.0,5,5,3+,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,0,1,1,522.0,0,Luxury
Flat,bestech park view grand spa,sector 81,3.45,2660.0,3,4,3,Low-rise,0,1,0,0,0,north-west,Semi-Furnished,Relatively New,0,1,1,1,886.6666666666666,0,Semi-Luxury
Independent Builder Floor,Luxury Builder floor In South City 2,sector 49,3.3,2160.0,3,3,2,Low-rise,0,1,0,1,0,north,Semi-Furnished,New Property,1,1,0,1,720.0,0,Budget
Independent Builder Floor,Signature Global City,sector 37,1.18,990.0,2,2,3,Low-rise,0,0,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,495.0,0,Budget
Independent House,"Sector 23, Gurgaon",sector 23,6.0,2367.0,3,3,2,Low-rise,1,1,1,1,0,east,Unfurnished,Relatively New,1,1,1,0,789.0,0,Luxury
Flat,emaar mgf emerald estate,sector 65,2.05,1020.0,2,2,2,Mid-rise,1,0,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,510.0,0,Luxury
Independent Builder Floor,"Sector 7, Gurgaon",sector 7,2.3,2250.0,3,3,1,Low-rise,0,0,0,1,0,north-east,Unfurnished,New Property,1,1,0,1,750.0,0,Budget
Flat,signature the roselia,sector 95,0.58,569.0,2,2,2,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,1,1,0,1,284.5,0,Budget
Flat,godrej meridien,sector 106,2.1,1366.0,2,2,3,Mid-rise,0,0,0,0,1,east,Unfurnished,New Property,1,0,1,1,683.0,0,Budget
Flat,sare crescent parc,sector 92,1.7,2040.0,4,4,3+,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,510.0,0,Budget
Flat,bestech park view grand spa,sector 81,5.29,4200.0,4,6,3+,High-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,1050.0,0,Luxury
Independent House,"Sector 4, Gurgaon",sector 4,7.5,4500.0,6,6,2,Low-rise,0,0,0,0,0,south-east,Unfurnished,Old Property,1,1,1,0,750.0,0,Semi-Luxury
Flat,m3m soulitude,sector 89,1.7,1423.0,3,3,2,Low-rise,0,1,0,0,0,north,Unfurnished,Relatively New,1,1,0,1,474.3333333333333,0,Luxury
Flat,tata gurgaon gateway,sector 112,2.5,1580.0,2,2,2,Mid-rise,1,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,790.0,0,Semi-Luxury
Flat,bestech spa signature,sector 81,5.5,4200.0,4,5,3,High-rise,1,1,1,1,0,south,Semi-Furnished,Relatively New,0,1,1,1,1050.0,0,Luxury
Flat,central park resorts,sector 48,5.1,1676.0,2,2,3+,Low-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0,1,1,1,838.0,0,Luxury
Independent House,BRAND NEW NORTH WEST DIRECTION,sector 26,28.0,4500.0,5,7,3+,Low-rise,1,1,1,1,0,north-west,Semi-Furnished,New Property,1,1,1,0,900.0,0,Luxury
Independent House,Signature Global Park,sector 33,1.59,1350.0,2,2,3,Low-rise,1,0,0,0,0,north-east,Unfurnished,Relatively New,1,0,0,0,675.0,0,Semi-Luxury
Independent House,"Subhash Nagar, Gurgaon",sector 12,0.7,1350.0,4,4,2,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,0,1,337.5,0,Budget
Independent Builder Floor,BEST PRICE DEALS,sector 43,2.7,1935.0,3,4,2,Low-rise,1,1,0,1,1,east,Semi-Furnished,New Property,1,1,0,1,645.0,0,Budget
Flat,tarc maceo,sector 91,1.9,1862.0,3,3,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,620.6666666666666,0,Budget
Flat,dlf new town heights 2,sector 86,2.0,1930.0,3,3,3+,Mid-rise,0,1,1,1,0,north,Unfurnished,Moderately Old,0,1,1,1,643.3333333333334,0,Semi-Luxury
Independent Builder Floor,Adani Brahma Samsara Vilasa,sector 63,3.6,2050.0,3,3,2,Low-rise,0,1,0,0,0,south-east,Semi-Furnished,Relatively New,1,1,0,1,683.3333333333334,0,Budget
Flat,indiabulls enigma,sector 110,4.8,3400.0,4,5,3,Mid-rise,0,1,0,0,0,north,Unfurnished,Moderately Old,0,1,1,1,850.0,0,Semi-Luxury
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.25,3240.0,4,4,2,Low-rise,0,1,0,1,0,south-east,Unfurnished,Relatively New,1,1,0,1,810.0,0,Semi-Luxury
Flat,central park resorts,sector 48,3.85,1418.0,2,2,3,Mid-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,709.0,0,Luxury
Flat,dlf the ultima,sector 81,3.99,2092.0,3,4,3+,High-rise,0,1,0,0,0,east,Furnished,Relatively New,0,1,1,1,697.3333333333334,0,Semi-Luxury
Flat,dlf the ultima,sector 81,3.75,2103.0,3,3,3,Mid-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,701.0,0,Budget
Independent House,Unitech Deerwood Chase,sector 50,14.5,3240.0,3,4,1,Low-rise,1,1,0,0,0,north,Semi-Furnished,Old Property,1,1,1,0,1080.0,0,Semi-Luxury
Flat,tulip yellow,sector 69,2.34,1704.0,3,3,3+,Mid-rise,0,0,0,0,0,east,Furnished,New Property,0,1,1,1,568.0,0,Luxury
Flat,ats marigold,sector 89,2.1,1750.0,3,3,3+,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,583.3333333333334,0,Semi-Luxury
Independent Builder Floor,"Block E sector 56, Gurgaon",sector 56,3.35,3000.0,4,5,3,Low-rise,1,1,0,1,1,east,Semi-Furnished,New Property,1,0,1,1,750.0,0,Budget
Independent House,"Nirvana Country, Gurgaon",sector 50,9.5,2160.0,4,4,3+,Low-rise,0,1,0,0,0,not available,Unfurnished,Old Property,1,1,1,0,540.0,0,Luxury
Flat,dlf regal gardens,sector 90,2.05,1737.0,3,3,3+,High-rise,0,0,1,0,0,east,Unfurnished,Relatively New,0,1,1,1,579.0,0,Luxury
Flat,pioneer park,sector 61,3.45,2060.0,3,3,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Old Property,0,1,1,1,686.6666666666666,0,Luxury
Flat,sri kirti apartments,sector 55,3.0,1850.0,3,3,3+,Low-rise,0,1,0,0,0,north,Unfurnished,Old Property,1,1,0,1,616.6666666666666,0,Semi-Luxury
Flat,aipl the peaceful homes,sector 70,4.15,2350.0,3,4,3,High-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,783.3333333333334,0,Luxury
Flat,ild greens,sector 37,1.98,2771.0,3,4,3+,High-rise,1,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,923.6666666666666,0,Luxury
Independent Builder Floor,"Sector 31, Gurgaon",sector 31,2.85,2300.0,3,2,2,Low-rise,0,0,0,0,0,north-east,Unfurnished,New Property,1,1,0,1,766.6666666666666,0,Budget
Independent House,Unitech Greenwood City,sector 45,8.25,2445.0,3,3,2,Low-rise,1,1,0,1,1,east,Unfurnished,Relatively New,1,0,0,0,815.0,0,Budget
Flat,bestech park view grand spa,sector 81,4.1,3185.0,4,5,2,Mid-rise,0,1,0,0,0,north,Unfurnished,Moderately Old,0,1,1,1,796.25,0,Budget
Independent Builder Floor,Brand new ultra luxury builder floor,sector 26,7.48,4518.0,4,4,2,Low-rise,0,1,0,0,1,north-west,Semi-Furnished,New Property,0,1,1,1,1129.5,0,Budget
Independent House,International City by SOBHA Phase 2,sector 109,21.5,6030.0,7,7,3+,Low-rise,0,1,1,1,0,north-east,Semi-Furnished,New Property,1,1,1,0,861.4285714285714,0,Luxury
Independent Builder Floor,"Supermart-1, Gurgaon",sector 28,4.1,2430.0,4,4,2,Low-rise,1,1,0,0,0,south,Semi-Furnished,Relatively New,1,1,0,1,607.5,0,Budget
Independent House,"Ambedkar Nagar, Gurgaon",sector 9,2.0,1800.0,6,3,2,Low-rise,0,0,0,0,0,south,Unfurnished,Moderately Old,1,1,1,0,300.0,0,Budget
Independent House,"Sector 104, Gurgaon",sector 104,0.58,1485.0,5,3,2,Low-rise,0,0,0,0,0,not available,Unfurnished,New Property,1,1,1,0,297.0,0,Budget
Flat,bptp freedom park life,sector 57,3.6,2587.0,3,4,3+,Low-rise,1,1,0,0,0,west,Semi-Furnished,Old Property,0,1,1,1,862.3333333333334,0,Luxury
Flat,greenopolis,sector 89,1.68,1957.0,3,3,3,Low-rise,0,1,0,0,0,west,Unfurnished,New Property,0,1,1,1,652.3333333333334,0,Semi-Luxury
Independent House,Tata Primanti,sector 72,12.0,7000.0,4,6,3+,Low-rise,1,1,1,1,0,north-east,Furnished,Relatively New,1,0,1,1,1750.0,0,Luxury
Flat,m3m heights,sector 65,3.5,1828.0,3,3,3,High-rise,0,0,0,0,0,east,Semi-Furnished,New Property,0,1,1,1,609.3333333333334,0,Semi-Luxury
Independent Builder Floor,"Pocket E Sector 2 Palam Vihar, Gurgaon",sector 2,5.0,4680.0,4,3,2,Low-rise,1,1,1,1,0,east,Furnished,New Property,1,1,0,1,1170.0,0,Luxury
Independent Builder Floor,Sushant lok 3,sector 57,2.09,2400.0,3,2,3,Low-rise,0,0,0,1,1,south-west,Unfurnished,Moderately Old,0,1,1,1,800.0,0,Budget
Flat,pareena express heights,sector 99,2.16,2118.0,3,3,2,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,706.0,0,Budget
Independent House,Ansal API Esencia,sector 67,7.5,2700.0,8,8,3+,Low-rise,1,1,0,1,1,west,Semi-Furnished,Relatively New,1,1,1,0,337.5,0,Semi-Luxury
Independent House,"Sector 4, Gurgaon",sector 4,7.0,4950.0,4,4,3+,Low-rise,1,0,1,0,0,south-east,Unfurnished,Relatively New,1,1,1,0,1237.5,0,Semi-Luxury
Independent House,Bestech Park View Ananda,sector 81,8.5,2430.0,5,6,3+,Low-rise,0,1,0,0,0,east,Unfurnished,New Property,1,1,1,0,486.0,0,Semi-Luxury
Flat,dlf the primus,sector 82,2.8,1799.0,3,3,3+,High-rise,0,0,0,0,0,north,Semi-Furnished,Relatively New,0,1,1,1,599.6666666666666,0,Luxury
Independent Builder Floor,Smart World Gems,sector 89,1.58,1423.0,3,3,2,Low-rise,1,0,1,0,0,east,Unfurnished,New Property,0,1,1,1,474.3333333333333,0,Semi-Luxury
Flat,imperia the esfera,sector 37,1.6,2035.0,3,5,3+,Mid-rise,1,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,678.3333333333334,0,Budget
Flat,orchid petals,sector 49,2.95,1805.0,3,3,3,Low-rise,0,0,0,0,0,north,Unfurnished,Moderately Old,0,1,1,1,601.6666666666666,0,Budget
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,4.4,3240.0,4,4,2,Low-rise,0,1,0,0,0,not available,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Independent Builder Floor,"Block N South City 1, Gurgaon",sector 41,2.56,1600.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,533.3333333333334,0,Semi-Luxury
Independent House,g block palam vihar,sector 1,11.0,4680.0,5,6,3,Low-rise,1,1,0,0,1,east,Furnished,Moderately Old,1,1,1,0,936.0,0,Semi-Luxury
Independent Builder Floor,DLF Phase 1 Ultra Luxury Builder Floors,sector 26,4.55,2700.0,4,4,2,Low-rise,1,1,0,1,1,north,Unfurnished,New Property,0,1,1,1,675.0,0,Luxury
Flat,la vida by tata housing,sector 113,4.1,2690.0,3,4,3,High-rise,1,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,896.6666666666666,0,Budget
Flat,ireo the corridors,sector 67,2.5,1540.0,2,2,2,Low-rise,1,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,770.0,0,Budget
Flat,smart world gems,sector 89,1.59,1494.0,3,3,3,Low-rise,0,0,0,0,1,east,Unfurnished,Relatively New,0,1,1,1,498.0,0,Luxury
Flat,conscient elevate,sector 59,5.6,2295.0,3,3,2,Low-rise,0,0,0,0,0,not available,Unfurnished,New Property,0,1,1,1,765.0,0,Budget
Independent House,Anant Raj Estates,sector 63,13.75,4230.0,5,6,3+,Low-rise,1,1,0,1,0,north,Unfurnished,Relatively New,1,1,1,0,846.0,0,Luxury
Flat,oriental valley chs,sector 9,1.75,2000.0,4,3,3,Mid-rise,0,1,0,0,0,not available,Unfurnished,Moderately Old,1,1,0,1,500.0,0,Budget
Independent Builder Floor,"Sector 46, Gurgaon",sector 46,4.25,3078.0,4,4,1,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,1,1,0,1,769.5,0,Budget
Flat,sobha city,sector 108,4.25,2072.0,3,4,3,Mid-rise,0,0,0,0,0,north,Unfurnished,New Property,0,1,1,1,690.6666666666666,0,Budget
Independent Builder Floor,"Sector 15 Part 2, Gurgaon",sector 15,4.8,4518.0,4,5,2,Low-rise,0,0,0,1,0,not available,Semi-Furnished,New Property,0,1,1,1,1129.5,0,Semi-Luxury
Flat,conscient elevate,sector 59,5.05,1810.0,3,3,1,Mid-rise,0,0,0,0,0,east,Furnished,Relatively New,0,1,1,1,603.3333333333334,0,Luxury
Independent Builder Floor,"Sector 51, Gurgaon",sector 51,2.7,1800.0,3,3,2,Low-rise,0,0,0,0,1,north-east,Semi-Furnished,New Property,0,1,1,1,600.0,0,Semi-Luxury
Independent House,"Sector 45, Gurgaon",sector 45,9.0,2367.0,5,5,2,Low-rise,0,0,0,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,473.4,0,Semi-Luxury
Independent House,"DLF Phase 4, Gurgaon",sector 28,23.9,4500.0,5,5,3+,Low-rise,0,1,0,0,0,east,Semi-Furnished,Moderately Old,1,1,1,0,900.0,0,Semi-Luxury
Flat,bestech park view grand spa,sector 81,4.49,3470.0,4,6,3,Mid-rise,1,1,0,0,0,west,Unfurnished,Moderately Old,0,1,1,1,867.5,0,Semi-Luxury
Independent Builder Floor,Signature Global Park,sector 33,1.0,1081.0,2,2,3,Low-rise,1,0,0,0,0,west,Unfurnished,New Property,1,1,0,1,540.5,0,Budget
Independent House,Bptp Visionnaire,sector 70,6.1,2619.0,4,4,3+,Low-rise,1,1,0,1,0,north-east,Unfurnished,New Property,1,1,1,0,654.75,0,Luxury
Flat,unitech fresco,sector 50,2.75,1836.0,3,3,3+,Mid-rise,0,0,0,0,0,north,Semi-Furnished,Moderately Old,0,1,1,1,612.0,0,Semi-Luxury
Flat,unitech uniworld gardens,sector 47,3.7,2416.0,4,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,0,1,1,1,604.0,0,Budget
Independent House,"Sector 23, Gurgaon",sector 23,4.45,1449.0,5,5,3+,Low-rise,0,0,0,0,0,not available,Unfurnished,Old Property,1,1,1,0,289.8,0,Budget
Flat,la vida by tata housing,sector 113,3.9,2690.0,3,3,3,High-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,896.6666666666666,0,Budget
Flat,central park resorts,sector 48,7.35,2464.0,3,3,3+,Low-rise,1,1,0,1,0,north-east,Semi-Furnished,Moderately Old,0,1,1,1,821.3333333333334,0,Semi-Luxury
Independent House,Unitech Nirvana Birch Court,sector 50,13.5,3240.0,5,5,3,Low-rise,0,1,0,0,0,north-east,Unfurnished,Moderately Old,1,0,0,0,648.0,0,Semi-Luxury
Independent Builder Floor,"Sector 70, Gurgaon",sector 70,1.9,1395.0,3,2,2,Low-rise,0,0,0,1,0,east,Semi-Furnished,New Property,1,1,0,1,465.0,0,Semi-Luxury
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.25,2160.0,3,4,2,Low-rise,0,1,0,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,720.0,0,Semi-Luxury
Independent House,"Vishnu Garden, Gurgaon",sector 105,0.77,600.0,3,3,2,Low-rise,0,0,0,0,0,south,Unfurnished,Relatively New,1,1,1,0,200.0,1,Budget
Independent House,"Block M South City 1, Gurgaon",sector 41,11.25,3240.0,5,6,3+,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,1,0,0,0,648.0,0,Luxury
Independent House,DLF,sector 24,17.0,4518.0,7,9,3+,Low-rise,1,1,1,1,0,north,Semi-Furnished,New Property,1,1,1,0,645.4285714285714,0,Luxury
Independent House,Shyam Kunj,bhondsi,0.9,990.0,2,2,1,Low-rise,1,0,0,1,0,east,Unfurnished,Relatively New,1,1,1,0,495.0,0,Budget
Flat,ats triumph,sector 104,3.9,3150.0,4,5,3+,High-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,787.5,0,Semi-Luxury
Independent House,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,15.0,3510.0,12,12,2,Low-rise,1,1,1,0,0,north,Unfurnished,Moderately Old,1,1,1,0,292.5,0,Budget
Flat,experion windchants,sector 112,4.65,2802.0,3,3,2,Mid-rise,0,1,0,0,0,north,Unfurnished,New Property,0,1,1,1,934.0,0,Semi-Luxury
Independent House,Ansals Palam Vihar,sector 1,4.1,1557.0,6,5,3+,Low-rise,0,0,1,0,0,north,Semi-Furnished,Moderately Old,1,1,1,0,259.5,1,Semi-Luxury
Flat,godrej meridien,sector 106,2.8,1855.0,3,3,3+,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,618.3333333333334,0,Luxury
Independent Builder Floor,Private Builder Floor,sector 49,4.11,3500.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,875.0,0,Luxury
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,4.0,2367.0,4,4,2,Low-rise,1,1,0,1,0,south-west,Unfurnished,Relatively New,1,0,1,1,591.75,0,Semi-Luxury
Independent Builder Floor,BPTP Astaire Gardens,sector 70,2.22,1700.0,3,3,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,566.6666666666666,0,Luxury
Flat,dlf the crest,sector 54,16.7,3123.0,4,6,3,High-rise,0,1,0,0,0,west,Semi-Furnished,Relatively New,0,1,1,1,780.75,0,Semi-Luxury
Independent House,Unitech Uniworld Resorts,sector 33,15.0,4500.0,5,4,2,Low-rise,0,1,1,0,0,north-east,Semi-Furnished,Moderately Old,1,1,1,0,900.0,0,Semi-Luxury
Independent House,"Sector 4, Gurgaon",sector 4,4.8,2250.0,6,4,3+,Low-rise,1,0,0,0,0,not available,Unfurnished,Old Property,1,1,1,0,375.0,0,Semi-Luxury
Flat,spaze privy at4,sector 84,2.1,1745.0,3,4,3+,Low-rise,0,0,0,1,0,east,Unfurnished,Relatively New,0,1,1,1,581.6666666666666,0,Budget
Independent House,"Nirvana Country, Gurgaon",sector 50,11.25,2160.0,6,7,3+,Low-rise,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1,1,1,0,360.0,0,Luxury
Independent House,"Surya Vihar, Gurgaon",sector 21,0.4,450.0,2,3,0,Low-rise,0,0,0,0,0,south,Unfurnished,Moderately Old,1,1,1,0,225.0,1,Budget
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,4.0,2700.0,4,4,2,Low-rise,1,0,0,1,0,north,Semi-Furnished,New Property,1,0,1,1,675.0,0,Budget
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,8.0,4500.0,4,5,2,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,Relatively New,1,1,0,1,1125.0,0,Budget
Independent Builder Floor,DLF Floors Phase 3,sector 24,6.5,4500.0,4,4,3+,Low-rise,1,1,1,1,0,east,Semi-Furnished,New Property,1,1,0,1,1125.0,0,Semi-Luxury
Independent Builder Floor,Unitech Greenwood City,sector 45,2.9,2205.0,3,3,3,Low-rise,1,1,1,1,0,east,Semi-Furnished,New Property,0,1,1,1,735.0,0,Semi-Luxury
Flat,m3m heights,sector 65,2.25,1261.0,2,2,3,Mid-rise,0,0,1,0,0,east,Semi-Furnished,Relatively New,0,1,1,1,630.5,0,Luxury
Flat,tata primanti,sector 72,4.68,2625.0,4,5,3+,Mid-rise,0,1,0,0,0,east,Semi-Furnished,Relatively New,0,1,1,1,656.25,0,Luxury
Flat,ireo skyon,sector 60,4.5,2083.0,3,4,3+,Mid-rise,0,1,0,0,0,south,Semi-Furnished,Moderately Old,0,1,1,1,694.3333333333334,0,Luxury
Independent Builder Floor,GPS Atulyam Homes,sector 83,2.29,1800.0,3,3,2,Low-rise,0,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,600.0,0,Budget
Flat,ireo the corridors,sector 67,2.99,1727.0,3,3,2,Mid-rise,0,0,0,1,1,east,Furnished,New Property,0,1,1,1,575.6666666666666,0,Luxury
Flat,tulip violet,sector 69,2.25,1578.0,3,3,2,Low-rise,0,0,0,1,0,east,Unfurnished,New Property,0,1,1,1,526.0,0,Luxury
Independent House,"DLF Phase 1, Gurgaon",sector 26,18.0,4500.0,6,7,3,Low-rise,1,1,0,1,1,north,Semi-Furnished,Relatively New,1,1,1,0,750.0,0,Semi-Luxury
Independent Builder Floor,Smart World Gems,sector 89,1.63,1494.0,3,3,2,Low-rise,1,0,0,0,0,north,Unfurnished,New Property,1,0,1,1,498.0,0,Luxury
Independent House,"Sector-22A, Gurgaon",sector 22,6.5,2367.0,8,8,3+,Low-rise,0,0,1,1,0,west,Semi-Furnished,Moderately Old,1,1,1,0,295.875,0,Luxury
