property_name,link,society,price,area
"4 Bedroom House in Sector 23, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-23-gurgaon-1467-sq-ft-spid-G83112694,"Sector 23, Gurgaon",₹5.5 Cr,"₹37,491 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-6500-sq-ft-r16-spid-J55931764,Emaar MGF Marbella,₹16.75 Cr,"₹25,769 /sqft"
"14 Bedroom House in Sector 5, Gurgaon",https://www.99acres.com/14-bhk-bedroom-independent-house-villa-for-sale-in-sheetla-enclave-sector-5-gurgaon-1305-sq-ft-spid-R83032272,Sheetla Enclave,₹2.5 Cr,"₹19,157 /sqft"
"4 Bedroom House in Gwal Pahari, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-gwal-pahari-gurgaon-5000-sq-ft-spid-O82974926,"Gwal Pahari, Gurgaon",₹3.9 Cr,"₹1,12,391 /sqft"
"3 Bedroom House in Shivaji Nagar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shivaji-nagar-gurgaon-1800-sq-ft-spid-Y79443389,"Shivaji Nagar, Gurgaon",₹3.5 Cr,"₹23,333 /sqft"
"5 Bedroom House in Saraswati Vihar, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-saraswati-vihar-gurgaon-900-sq-ft-spid-B82938314,"Saraswati Vihar, Gurgaon",₹3.25 Cr,"₹36,111 /sqft"
"3 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-900-sq-ft-spid-D82916494,"Sector 40, Gurgaon",₹3.65 Cr,"₹40,555 /sqft"
"2 Bedroom House in Sector 89, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-mrg-the-meridian-sector-89-gurgaon-626-sq-ft-spid-R82898648,MRG The Meridian,₹75 Lac,"₹11,986 /sqft"
"3 Bedroom House in Surat Nagar Phase 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-surat-nagar-phase-1-gurgaon-50-sq-ft-spid-O82895878,"Surat Nagar Phase 1, Gurgaon",₹85 Lac,"₹1,70,000 /sqft"
"10 Bedroom House in Sushant Lok 3 Extension, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-3-extension-gurgaon-7200-sq-ft-spid-H82804586,"Sushant Lok 3 Extension, Gurgaon",₹22 Cr,"₹30,556 /sqft"
"3 Bedroom House in Block S Uppals Southend, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-block-s-uppals-southend-gurgaon-2826-sq-ft-spid-I82681176,"Block S Uppals Southend, Gurgaon",₹2.3 Cr,"₹12,777 /sqft"
"5 Bedroom House in Block F New Palam Vihar Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-f-new-palam-vihar-phase-1-gurgaon-900-sq-ft-r1-spid-G79595033,"Block F New Palam Vihar Phase 1, Gurgaon",₹2.25 Cr,"₹21,028 /sqft"
"4 Bedroom House in Sector 91, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-independent-floors-at-dlf-gardencity-sector-91-gurgaon-2475-sq-ft-spid-V82631850,Independent Floors At Dlf Gardencity,₹2.95 Cr,"₹11,303 /sqft"
"4 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1350-sq-ft-spid-D82277316,"Block C, Sushant Lok Phase 1, Gurgaon",₹6 Cr,"₹43,704 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-J82515026,"Sector 4, Gurgaon",₹4.25 Cr,"₹18,889 /sqft"
"5 Bedroom House in Sector 11, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-11-gurgaon-1800-sq-ft-spid-W82567684,H NO 2/15,₹4.5 Cr,"₹25,000 /sqft"
"6 Bedroom House in Khandsha, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-khandsha-gurgaon-1123-sq-ft-spid-M82565862,"Khandsha, Gurgaon",₹1.15 Cr,"₹9,706 /sqft"
"3 Bedroom House in Sector 92, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-signature-global-city-92-sector-92-gurgaon-645-sq-ft-spid-G82564184,Signature Global City 92,₹1.32 Cr,"₹20,465 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4500-sq-ft-spid-D82546124,International City by SOBHA Phase 2,₹9 Cr,"₹20,000 /sqft"
"4 Bedroom House in Sector 86, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1728-sq-ft-spid-G82312174,DLF New Town Heights 2,₹4.13 Cr,"₹23,900 /sqft"
"3 Bedroom House in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-raheja-vedaanta-sector-108-gurgaon-2667-sq-ft-spid-W82290772,Raheja Vedaanta,₹2.4 Cr,"₹8,998 /sqft"
"5 Bedroom House in Sector 33, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4518-sq-ft-spid-T82218350,Unitech Uniworld Resorts,₹12.75 Cr,"₹28,220 /sqft"
"5 Bedroom House in Sector 33, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4518-sq-ft-spid-G82219994,Unitech Uniworld Resorts,₹12.5 Cr,"₹27,667 /sqft"
"2 Bedroom House in Rajendra Park, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-rajendra-park-gurgaon-936-sq-ft-spid-R82189752,"Mahalaxmi Garden, Street no 5",₹1.5 Cr,"₹13,355 /sqft"
"8 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-2250-sq-ft-spid-Z81606289,Sector 22A,₹6.5 Cr,"₹34,444 /sqft"
"4 Bedroom House in Sector 92, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansal-heights-sector-92-gurgaon-5000-sq-ft-spid-S82086612,Ansal Heights,₹5.5 Cr,"₹21,442 /sqft"
"3 Bedroom House in New Basti, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-basti-gurgaon-630-sq-ft-spid-P81782302,"New Basti, Gurgaon",₹90 Lac,"₹14,286 /sqft"
"10 Bedroom House in Old DLF Colony, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-old-dlf-colony-gurgaon-250-sq-ft-spid-I79862779,"Old DLF Colony, Gurgaon",₹6 Cr,"₹2,39,999 /sqft"
"9 Bedroom House in Sushant Lok 3 Extension, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-3-extension-gurgaon-900-sq-ft-r2-spid-H78844527,"Sushant Lok 3 Extension, Gurgaon",₹5.5 Cr,"₹61,111 /sqft"
"12 Bedroom House in Sector 42, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-42-gurgaon-6300-sq-ft-r1-spid-V78505077,"Sector 42, Gurgaon",₹11.05 Cr,"₹58,802 /sqft"
"12 Bedroom House in Block B, Palam Vihar, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-block-b-palam-vihar-gurgaon-8000-sq-ft-r1-spid-J75605879,"Block B, Palam Vihar, Gurgaon",₹7.25 Cr,"₹71,924 /sqft"
"10 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-nirvana-country-gurgaon-3240-sq-ft-spid-U80357955,"Nirvana Country, Gurgaon",₹16 Cr,"₹49,383 /sqft"
"20 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/20-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1980-sq-ft-spid-Z80796167,"Block C, Sushant Lok Phase 1, Gurgaon",₹11.5 Cr,"₹58,081 /sqft"
"10 Bedroom House in Patel Nagar, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-patel-nagar-gurgaon-2000-sq-ft-spid-E80148319,indipendant house gurugram,₹4.7 Cr,"₹23,500 /sqft"
"7 Bedroom House in Sector 99, Gurgaon",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-assotech-blith-sector-99-gurgaon-6300-sq-ft-spid-A79824757,Assotech Blith,₹7.25 Cr,"₹27,500 /sqft"
"4 Bedroom House in Sector 14, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-rwa-sector-14-gurgaon-4950-sq-ft-spid-S79386195,Sector 14 RWA,₹8.15 Cr,"₹36,222 /sqft"
"4 Bedroom House in Rattan Garden, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-rattan-garden-gurgaon-1200-sq-ft-r2-spid-W67520476,"Rattan Garden, Gurgaon",₹1.9 Cr,"₹12,222 /sqft"
"3 Bedroom House in Saraswati Vihar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-saraswati-vihar-gurgaon-1800-sq-ft-spid-I83537758,"Saraswati Vihar, Gurgaon",₹7.1 Cr,"₹39,444 /sqft"
"5 Bedroom House in South City 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-optimal-luxury-villa-in-top-location-south-city-1-gurgaon-54000-sq-ft-spid-L84213102,Optimal Luxury Villa In Top Location,₹12.25 Cr,"₹37,809 /sqft"
"5 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-8000-sq-ft-spid-P84588412,Eros Rosewood City,₹16.25 Cr,"₹20,312 /sqft"
"5 Bedroom House in Sector 57, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-satya-the-legend-sector-57-gurgaon-6498-sq-ft-spid-Y84631378,Satya The Legend,₹17.05 Cr,"₹26,239 /sqft"
"5 Bedroom House in Sector 26, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-sector-26-gurgaon-4518-sq-ft-r1-spid-R80578299,DLF City Phase 1,₹19 Cr,"₹42,054 /sqft"
"5 Bedroom House in Block E DLF City Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-e-dlf-city-phase-1-gurgaon-2700-sq-ft-r1-spid-N80579119,"Block E DLF City Phase 1, Gurgaon",₹13.75 Cr,"₹50,926 /sqft"
"4 Bedroom House in DLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-dlf-phase-1-gurgaon-1800-sq-ft-spid-L83938814,DLF City Plots,₹7.75 Cr,"₹43,056 /sqft"
"9 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-3600-sq-ft-spid-H84778914,"Block C, Sushant Lok Phase 1, Gurgaon",₹13.25 Cr,"₹38,889 /sqft"
"5 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-4725-sq-ft-spid-Q84368598,Eros Rosewood City,₹16.5 Cr,"₹34,921 /sqft"
"4 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1935-sq-ft-spid-Q84540196,"DLF Phase 2, Gurgaon",₹9.25 Cr,"₹47,804 /sqft"
"5 Bedroom House in DLF Cyber City, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-cyber-city-gurgaon-2700-sq-ft-spid-G84164296,"DLF Cyber City, Gurgaon",₹13 Cr,"₹48,148 /sqft"
"6 Bedroom House in DLF Phase 4, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-4-dlf-phase-4-gurgaon-360-sq-ft-spid-W84163910,DLF City Plots Phase 4,₹14.5 Cr,"₹4,02,777 /sqft"
"6 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-3618-sq-ft-spid-N83655760,DLF City Plots Phase 2,₹14.8 Cr,"₹40,907 /sqft"
"4 Bedroom House in G block DLF City Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-g-block-dlf-city-phase-1-gurgaon-1800-sq-ft-spid-I83938138,"G block DLF City Phase 1, Gurgaon",₹7.75 Cr,"₹43,056 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-V84488392,Vipul Tatvam Villa,₹10.5 Cr,"₹32,407 /sqft"
"18 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/18-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-3600-sq-ft-spid-T84163142,"DLF Phase 2, Gurgaon",₹18.5 Cr,"₹51,389 /sqft"
"16 Bedroom House in Sector 57, Gurgaon",https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-2367-sq-ft-spid-O84651716,"Sector 57, Gurgaon",₹11 Cr,"₹46,472 /sqft"
"3 Bedroom House in Sector 95, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-landmark-avana-sector-95-gurgaon-1660-sq-ft-spid-N83798586,Landmark Avana,₹1.42 Cr,"₹8,554 /sqft"
"4 Bedroom House in Huda, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-huda-gurgaon-2700-sq-ft-spid-X83693308,"Huda, Gurgaon",₹6.99 Cr,"₹25,889 /sqft"
"6 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-3240-sq-ft-spid-V84486428,"Palam Vihar, Gurgaon",₹8.25 Cr,"₹25,463 /sqft"
"4 Bedroom House in DLF Phase 5, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-5-dlf-phase-5-gurgaon-1400-sq-ft-spid-Q84400456,DLF City Plots Phase 5,₹3.05 Cr,"₹56,481 /sqft"
"5 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-4680-sq-ft-spid-V84488008,"Palam Vihar, Gurgaon",₹9.75 Cr,"₹20,833 /sqft"
"8 Bedroom House in Sector 30, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-30-gurgaon-720-sq-ft-spid-N84375262,"Sector 30, Gurgaon",₹2.8 Cr,"₹38,889 /sqft"
"4 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-6000-sq-ft-spid-U84732236,DLF City Plots Phase 2,₹9.25 Cr,"₹51,388 /sqft"
"6 Bedroom House in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-6660-sq-ft-spid-M83804524,"Sushant Lok Phase 1, Gurgaon",₹25.5 Cr,"₹38,288 /sqft"
"2 Bedroom House in Farukhnagar, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-farukhnagar-gurgaon-1035-sq-ft-spid-W83978476,"Farukhnagar, Gurgaon",₹95 Lac,"₹9,179 /sqft"
"3 Bedroom House in Sector 95, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-landmark-avana-sector-95-gurgaon-1516-sq-ft-spid-Q83798272,Landmark Avana,₹1.31 Cr,"₹8,311 /sqft"
"6 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-2-dlf-phase-2-gurgaon-2745-sq-ft-spid-H83457942,DLF City Plots Phase 2,₹12 Cr,"₹43,715 /sqft"
"4 Bedroom House in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vatika-signature-villas-sector-82-gurgaon-2211-sq-ft-r1-spid-W78512243,Vatika Signature Villas,₹6 Cr,"₹27,139 /sqft"
"5 Bedroom House in Sector 66, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-emaar-mgf-marbella-sector-66-gurgaon-73341-sq-ft-spid-J83572630,Emaar MGF Marbella,₹25 Cr,"₹55,334 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-T83084694,Vipul Tatvam Villa,₹11 Cr,"₹33,951 /sqft"
"9 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-2250-sq-ft-r1-spid-D80628999,"DLF Phase 2, Gurgaon",₹10.75 Cr,"₹47,778 /sqft"
"4 Bedroom House in Sector-33 Sohna, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-2250-sq-ft-r2-spid-B75265657,Central Park Flower Valley,₹7.49 Cr,"₹35,555 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-4000-sq-ft-spid-L84488444,Vipul Tatvam Villa,₹11 Cr,"₹27,500 /sqft"
"3 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-594-sq-ft-spid-M84331872,Ansals Palam Vihar,₹1.8 Cr,"₹30,303 /sqft"
"4 Bedroom House in Sector 72, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tata-primanti-sector-72-gurgaon-7000-sq-ft-spid-O84478398,Tata Primanti,₹11.75 Cr,"₹16,785 /sqft"
"2 Bedroom House in Sector 14, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-rwa-sector-14-gurgaon-2250-sq-ft-spid-C83614550,Sector 14 RWA,₹6.5 Cr,"₹28,889 /sqft"
"16 Bedroom House in Block C Greenwood City, Gurgaon",https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-block-c-greenwood-city-gurgaon-4500-sq-ft-spid-J83610346,Greenwood City,₹25 Cr,"₹55,556 /sqft"
"2 Bedroom House in Sector 43, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-sector-43-gurgaon-1449-sq-ft-r1-spid-D81536835,Sector 43,₹6.5 Cr,"₹44,858 /sqft"
"10 Bedroom House in Sector 47, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-2367-sq-ft-r1-spid-A81227801,Sector 47,₹7.5 Cr,"₹31,686 /sqft"
"5 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-900-sq-ft-r1-spid-T79920353,Sector 40,₹3.65 Cr,"₹40,556 /sqft"
"9 Bedroom House in Sector 40, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-1449-sq-ft-r1-spid-Y81094285,Sector40,₹5.5 Cr,"₹37,957 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-r3-spid-K79571579,Vipul Tatvam Villa,₹11 Cr,"₹33,951 /sqft"
"8 Bedroom House in Block M DLF phase 2, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-block-m-dlf-phase-2-gurgaon-3618-sq-ft-spid-K84359480,"Block M DLF phase 2, Gurgaon",₹16 Cr,"₹44,223 /sqft"
"4 Bedroom House in Block M DLF phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-block-m-dlf-phase-2-gurgaon-1935-sq-ft-spid-W84359248,"Block M DLF phase 2, Gurgaon",₹8.75 Cr,"₹45,220 /sqft"
"4 Bedroom House in New Palam Vihar Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-new-palam-vihar-phase-2-gurgaon-2403-sq-ft-spid-T83117526,"New Palam Vihar Phase 2, Gurgaon",₹3.35 Cr,"₹13,941 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-world-floors-sector-48-gurgaon-2160-sq-ft-spid-V83911784,Vipul World Floors,₹2.75 Cr,"₹12,731 /sqft"
"6 Bedroom House in Sector 47, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-630-sq-ft-r3-spid-M78515587,Sector 47,₹2.95 Cr,"₹45,525 /sqft"
"9 Bedroom House in DLF Phase 2, Gurgaon",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-2250-sq-ft-r1-spid-X80345415,"DLF Phase 2, Gurgaon",₹11 Cr,"₹48,889 /sqft"
"18 Bedroom House in Sector 50, Gurgaon",https://www.99acres.com/18-bhk-bedroom-independent-house-villa-for-sale-in-sector-50-gurgaon-1458-sq-ft-spid-Z84642338,"Sector 50, Gurgaon",₹6 Cr,"₹41,152 /sqft"
"3 Bedroom House in Block B Rajendra Park, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-block-b-rajendra-park-gurgaon-750-sq-ft-spid-R83212756,"Block B Rajendra Park, Gurgaon",₹1.1 Cr,"₹14,666 /sqft"
"4 Bedroom House in Sector 109, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-4500-sq-ft-spid-Q83709812,International City by SOBHA Phase 2,₹9 Cr,"₹20,000 /sqft"
"18 Bedroom House in Sector 56, Gurgaon",https://www.99acres.com/18-bhk-bedroom-independent-house-villa-for-sale-in-sector-56-gurgaon-1458-sq-ft-spid-O84599296,"Sector 56, Gurgaon",₹6.5 Cr,"₹44,582 /sqft"
"16 Bedroom House in Sector 43, Gurgaon",https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-sector-43-gurgaon-2367-sq-ft-spid-Q83598810,Sector 43,₹12 Cr,"₹50,697 /sqft"
"6 Bedroom House in DLF Phase 4, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-garden-villas-dlf-phase-4-gurgaon-2844-sq-ft-spid-Y84630026,Garden Villas,₹17.5 Cr,"₹61,533 /sqft"
"5 Bedroom House in Sector 45, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-45-gurgaon-900-sq-ft-r3-spid-Z77267437,Sector 45,₹3.6 Cr,"₹40,000 /sqft"
"16 Bedroom House in DLF Phase 4, Gurgaon",https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-garden-villas-dlf-phase-4-gurgaon-2844-sq-ft-spid-I83654640,Garden Villas,₹16 Cr,"₹56,259 /sqft"
"3 Bedroom House in Rajendra Park, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-rajendra-park-gurgaon-600-sq-ft-spid-F83213642,"Rajendra Park, Gurgaon",₹76 Lac,"₹12,666 /sqft"
"5 Bedroom House in DLF Phase 4, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-garden-villas-dlf-phase-4-gurgaon-2844-sq-ft-spid-X84208820,Garden Villas,₹25 Cr,"₹87,904 /sqft"
"10 Bedroom House in Sector 46, Gurgaon",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-2367-sq-ft-r1-spid-W80255989,Sector 46,₹8.25 Cr,"₹34,854 /sqft"
"5 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-4725-sq-ft-spid-Z84437528,Eros Rosewood City,₹16 Cr,"₹33,862 /sqft"
"3 Bedroom House in DLF Phase 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-4-gurgaon-2430-sq-ft-spid-S84698614,"DLF Phase 4, Gurgaon",₹12.5 Cr,"₹51,440 /sqft"
"6 Bedroom House in Sector 52, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-52-gurgaon-1449-sq-ft-r1-spid-C81248819,Sector 52,₹4.6 Cr,"₹31,746 /sqft"
"12 Bedroom House in Sector 51, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-51-gurgaon-160-sq-ft-r1-spid-H81789320,"Sector 51, Gurgaon",₹8.5 Cr,"₹5,31,250 /sqft"
"5 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-4680-sq-ft-spid-U84487054,"Palam Vihar, Gurgaon",₹10 Cr,"₹21,367 /sqft"
"4 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2628-sq-ft-spid-A84171588,"Sector 4, Gurgaon",₹6.1 Cr,"₹23,212 /sqft"
"4 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-orchid-petals-sector-49-gurgaon-6930-sq-ft-spid-Q84465034,Orchid Petals,₹19 Cr,"₹27,417 /sqft"
"6 Bedroom House in Sector 7, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1580-sq-ft-spid-L84841706,"Sector 7, Gurgaon",₹4.3 Cr,"₹22,395 /sqft"
