property_name,link,society,price,area
"4 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-palam-vihar-gurgaon-4680-sq-ft-r14-spid-G58587946,"Palam Vihar, Gurgaon",₹11.5 Cr,"₹24,573 /sqft"
"7 Bedroom House in Sector 23, Gurgaon",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-sector-23-gurgaon-45000-sq-ft-r14-spid-S49137769,"Sector 23, Gurgaon",₹7.7 Cr,"₹25,016 /sqft"
"3 Bedroom House in Sector 56, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-kendriya-vihar-sector-56-gurgaon-2200-sq-ft-spid-T83132540,Kendriya Vihar,₹3.6 Cr,"₹16,363 /sqft"
"5 Bedroom House in Uppals Southend, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-uppal-southend-uppals-southend-gurgaon-2799-sq-ft-spid-C84224042,Uppal Southend,₹10.8 Cr,"₹38,585 /sqft"
"3 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-unitech-nirvana-birch-court-nirvana-country-gurgaon-2160-sq-ft-spid-C84780874,Unitech Nirvana Birch Court,₹10 Cr,"₹46,296 /sqft"
"4 Bedroom House in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-unitech-nirvana-birch-court-nirvana-country-gurgaon-3240-sq-ft-spid-G84630858,Unitech Nirvana Birch Court,₹12.5 Cr,"₹38,580 /sqft"
"6 Bedroom House in Sector 4, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-F84111884,"Sector 4, Gurgaon",₹4.5 Cr,"₹20,000 /sqft"
"4 Bedroom House in Sector 23A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-23a-gurgaon-900-sq-ft-spid-E83677264,"Sector 23A, Gurgaon",₹3.5 Cr,"₹38,889 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1950-sq-ft-spid-O84771154,Eros Rosewood City,₹5.21 Cr,"₹30,467 /sqft"
"3 Bedroom House in Sector 49, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-sector-49-gurgaon-1800-sq-ft-spid-H84771068,Eros Rosewood City,₹4.21 Cr,"₹27,516 /sqft"
"12 Bedroom House in Sector 51, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-51-gurgaon-1800-sq-ft-spid-R84590468,On Main 30 Mtr Wide Rd,₹12.75 Cr,"₹70,833 /sqft"
"3 Bedroom House in Rosewood City, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-eros-rosewood-city-rosewood-city-gurgaon-2000-sq-ft-spid-H84497478,Eros Rosewood City,₹5.25 Cr,"₹30,701 /sqft"
