property_name,link,society,price,area,areawithtype
"4 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-1-builder-floors-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-V84709534,Sushant Lok 1 Builder Floors,₹4.25 Cr,"₹15,741 /sqft","2,700 sqft (251 sqm) Carpet Area"
"2 BHK Independent Builder Floor in Sector 104, Gurgaon",https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-hero-homes-sector-104-gurgaon-1099-sq-ft-r1-spid-R83434900,Hero Homes,₹1.59 Cr,"₹14,467 /sqft","1,099 sqft (102 sqm) Built-up Area"
"4 BHK Independent Builder Floor in T Block, DLF Phase 3, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-t-block-dlf-phase-3-gurgaon-2250-sq-ft-spid-U85612520,"T Block, DLF Phase 3, Gurgaon",₹4.65 Cr,"₹20,666 /sqft","2,250 sqft (209 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Block B Sushant Lok 3, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-b-sushant-lok-3-gurgaon-2400-sq-ft-r1-spid-Q84022442,Sushant lok 3,₹2.09 Cr,"₹8,708 /sqft","2,400 sqft (223 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-2844-sq-ft-spid-K85320552,Luxury Homes By Horiizon Ventures,₹5 Cr,"₹23,148 /sqft","2,844 sqft (264 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 23, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-23-gurgaon-4518-sq-ft-r1-spid-V82846576,"Sector 23, Gurgaon",₹4.15 Cr,"₹9,185 /sqft","4,518 sqft (420 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2430-sq-ft-spid-W84671356,Ansal API Versalia,₹2.95 Cr,"₹12,139 /sqft","2,430 sqft (226 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 5, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-the-grove-dlf-phase-5-gurgaon-2100-sq-ft-spid-M85045670,DLF The Grove,₹10.85 Cr,"₹51,666 /sqft","2,100 sqft (195 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Sector 67A, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-versalia-sector-67a-gurgaon-2520-sq-ft-spid-B83814146,Ansal API Versalia,₹2.7 Cr,"₹13,106 /sqft","2,520 sqft (234 sqm) Super Built-up Area"
"3 BHK Independent Builder Floor in Sector 93, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-gardencity-enclave-sector-93-gurgaon-1650-sq-ft-spid-T85242970,DLF Gardencity Enclave,₹1.93 Cr,"₹11,696 /sqft","1,650 sqft (153 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Malibu Town, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-malibu-towne-malibu-town-gurgaon-3762-sq-ft-spid-V85094466,Malibu Towne,₹6 Cr,"₹15,948 /sqft","3,762 sqft (350 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Malibu Town, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-malibu-towne-malibu-town-gurgaon-1830-sq-ft-spid-L85025804,Malibu Towne,₹3.9 Cr,"₹21,311 /sqft","1,830 sqft (170 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Malibu Town, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-malibu-town-gurgaon-2403-sq-ft-spid-I85368456,"Malibu Town, Gurgaon",₹3.5 Cr,"₹14,565 /sqft","2,403 sqft (223 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Malibu Town, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-malibu-town-gurgaon-1800-sq-ft-spid-A85158722,"Malibu Town, Gurgaon",₹2.85 Cr,"₹15,833 /sqft","1,800 sqft (167 sqm) Built-up Area"
"4 BHK Independent Builder Floor in Uppals Southend, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-uppal-southend-uppals-southend-gurgaon-2200-sq-ft-r1-spid-A83061520,Uppal Southend,₹3 Cr,"₹13,636 /sqft","2,200 sqft (204 sqm) Built-up Area"
"3 BHK Independent Builder Floor in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-m3m-soulitude-sector-89-gurgaon-1494-sq-ft-spid-V83899908,M3M Soulitude,₹1.65 Cr,"₹10,174 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"3 BHK Independent Builder Floor in Sushant Lok 3 Extension, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-3-extension-gurgaon-2340-sq-ft-spid-M85333476,Hongkong bazaar,₹2.5 Cr,"₹10,683 /sqft","2,340 sqft (217 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-plots-dlf-phase-1-gurgaon-4500-sq-ft-spid-T85642074,DLF City Plots,₹6.2 Cr,"₹13,778 /sqft","4,500 sqft (418 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 4, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-2500-sq-ft-spid-J85643908,"Sector 4, Gurgaon",₹2.25 Cr,"₹9,000 /sqft","2,500 sqft (232 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Malibu Town, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-malibu-town-gurgaon-2475-sq-ft-spid-J84435922,"Malibu Town, Gurgaon",₹3.4 Cr,"₹13,737 /sqft","2,475 sqft (230 sqm) Carpet Area"
"5 BHK Independent Builder Floor in A Block Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-3762-sq-ft-spid-K84486452,"A Block Sushant Lok Phase 1, Gurgaon",₹6 Cr,"₹15,949 /sqft","3,762 sqft (350 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-Q84491776,"Sushant Lok Phase 1, Gurgaon",₹3.1 Cr,"₹16,020 /sqft","1,935 sqft (180 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Nirvana Country, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-nirvana-country-gurgaon-2700-sq-ft-spid-D85524836,"Nirvana Country, Gurgaon",₹4.5 Cr,"₹16,667 /sqft","2,700 sqft (251 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 63A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-city-63a-sector-63a-gurgaon-1470-sq-ft-spid-F85566436,Signature Global City 63A,₹2.5 Cr,"₹17,006 /sqft","1,470 sqft (137 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Suncity, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-suncity-gurgaon-4293-sq-ft-spid-F85200448,"Suncity, Gurgaon",₹6.7 Cr,"₹15,606 /sqft","4,293 sqft (399 sqm) Carpet Area"
