property_name,link,society,price,area,areawithtype
"5 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-6325-sq-ft-r3-spid-M77074157,Experion Windchants,₹7.9 Cr,"₹12,490 /sqft","6,325 sqft (588 sqm) Super Built-up Area"
"5 BHK Flat in Sector 103, Gurgaon",https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-centrum-park-sector-103-gurgaon-4900-sq-ft-spid-W83708808,Indiabulls Centrum Park,₹5.22 Cr,"₹10,653 /sqft","4,900 sqft (455 sqm) Carpet Area"
"2 BHK Flat in Sector 37D, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-37d-ph-2-sector-37d-gurgaon-1060-sq-ft-r1-spid-U80833251,Signature Global City 37D Ph 2,₹1.6 Cr,"₹15,094 /sqft","1,060 sqft (98 sqm) Carpet Area"
"3 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tata-gurgaon-gateway-sector-112-gurgaon-2560-sq-ft-spid-H83451802,Tata Gurgaon Gateway,₹3.45 Cr,"₹13,476 /sqft","2,560 sqft (238 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2072-sq-ft-r8-spid-M67442410,Sobha City,₹4.15 Cr,"₹20,028 /sqft","2,072 sqft (193 sqm) Super Built-up Area"
"4 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4848-sq-ft-spid-O84900836,Experion Windchants,₹7.5 Cr,"₹15,470 /sqft","4,848 sqft (450 sqm) Super Built-up Area"
"3 BHK Flat in Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-escape-nirvana-country-gurgaon-2066-sq-ft-spid-W84807494,Unitech Escape,₹2.84 Cr,"₹13,746 /sqft","2,066 sqft (192 sqm) Super Built-up Area"
"2 BHK Flat in Sector 85, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-1741-sq-ft-spid-O85147390,SS The Leaf,₹1.85 Cr,"₹10,626 /sqft","1,741 sqft (162 sqm) Super Built-up Area"
"3 BHK Flat in Sector 67, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-spa-next-sector-67-gurgaon-1935-sq-ft-spid-T84180046,Bestech Park View Spa Next,₹2.93 Cr,"₹15,142 /sqft","1,935 sqft (180 sqm) Super Built-up Area"
"2 BHK Flat in Sector 85, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-aster-court-sector-85-gurgaon-1375-sq-ft-spid-S84563652,Orris Aster Court,₹1.32 Cr,"₹13,894 /sqft","1,375 sqft (128 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-1889-sq-ft-spid-J84523086,Adani M2K Oyster Grande,₹2.5 Cr,"₹13,234 /sqft","1,889 sqft (175 sqm) Super Built-up Area"
"3 BHK Flat in Sector 77, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-umang-winter-hills-sector-77-gurgaon-1822-sq-ft-spid-C85150456,Umang Winter Hills,₹1.96 Cr,"₹10,729 /sqft","1,822 sqft (169 sqm) Super Built-up Area"
"4 BHK Flat in Sector 62, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-pioneer-urban-presidia-sector-62-gurgaon-3890-sq-ft-spid-J84806838,Pioneer Urban Presidia,₹9.65 Cr,"₹24,807 /sqft","3,890 sqft (361 sqm) Super Built-up Area"
"4 BHK Flat in Sector 82, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mapsko-royale-ville-sector-82-gurgaon-3500-sq-ft-spid-T84704172,Mapsko Royale Ville,₹4 Cr,"₹12,028 /sqft","3,500 sqft (325 sqm) Super Built-up Area"
"3 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-2802-sq-ft-r9-spid-J55763770,Experion Windchants,₹4.92 Cr,"₹17,558 /sqft","2,802 sqft (260 sqm) Super Built-up Area"
"4 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4739-sq-ft-spid-U82948586,Experion Windchants,₹7.99 Cr,"₹16,860 /sqft","4,739 sqft (440 sqm) Super Built-up Area"
"2 BHK Flat in Sohna, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1269-sq-ft-spid-E84437206,Eldeco Accolade,₹1.25 Cr,"₹9,850 /sqft","1,269 sqft (118 sqm) Super Built-up Area"
"3 BHK Flat in DLF Phase 3, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ambience-lagoon-dlf-phase-3-gurgaon-2400-sq-ft-spid-B84513294,Ambience Lagoon,₹4.7 Cr,"₹19,583 /sqft","2,400 sqft (223 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-1889-sq-ft-spid-F84559042,Adani M2K Oyster Grande,₹2.51 Cr,"₹13,287 /sqft","1,889 sqft (175 sqm) Super Built-up Area"
"2 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1128-sq-ft-spid-L84342970,Smart World Gems,₹1.3 Cr,"₹11,524 /sqft","1,128 sqft (105 sqm) Built-up Area"
"4 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2872-sq-ft-spid-O81529865,DLF The Ultima,₹4.81 Cr,"₹16,747 /sqft","2,872 sqft (267 sqm) Super Built-up Area"
"4 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2872-sq-ft-spid-N84730878,DLF The Ultima,₹4.67 Cr,"₹16,260 /sqft","2,872 sqft (267 sqm) Super Built-up Area"
"3 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-A83301300,Smart World Gems,₹1.65 Cr,"₹11,044 /sqft","1,494 sqft (139 sqm) Carpet Area"
"3 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2103-sq-ft-spid-E81528981,DLF The Ultima,₹3.58 Cr,"₹17,023 /sqft","2,103 sqft (195 sqm) Super Built-up Area"
"3 BHK Flat in Sector 69, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-T84447956,Tulip Yellow,₹2.25 Cr,"₹13,204 /sqft","1,704 sqft (158 sqm) Super Built-up Area"
"3 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-3763-sq-ft-r3-spid-S80277231,Experion Windchants,₹6.41 Cr,"₹17,034 /sqft","3,763 sqft (350 sqm) Super Built-up Area"
"3 BHK Flat in Sector 65, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-golfestate-sector-65-gurgaon-3866-sq-ft-spid-O84976294,M3M Golfestate,₹8.25 Cr,"₹21,339 /sqft","3,866 sqft (359 sqm) Super Built-up Area"
"4 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2825-sq-ft-spid-Y84543748,DLF The Ultima,₹5.5 Cr,"₹19,469 /sqft","2,825 sqft (262 sqm) Super Built-up Area"
"3 BHK Flat in Nirvana Country, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-fresco-nirvana-country-gurgaon-1877-sq-ft-spid-Y84187584,Unitech Fresco,₹2.85 Cr,"₹15,183 /sqft","1,877 sqft (174 sqm) Super Built-up Area"
"3 BHK Flat in Sector 59, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-2095-sq-ft-spid-X79458147,Conscient Elevate,₹5.5 Cr,"₹26,252 /sqft","2,095 sqft (195 sqm) Super Built-up Area"
"3 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2092-sq-ft-spid-O84730646,DLF The Ultima,₹3.73 Cr,"₹17,829 /sqft","2,092 sqft (194 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1711-sq-ft-spid-U84976254,Sobha City,₹3.45 Cr,"₹20,163 /sqft","1,711 sqft (159 sqm) Super Built-up Area"
"3 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-D83301342,Smart World Gems,₹1.6 Cr,"₹10,709 /sqft","1,494 sqft (139 sqm) Carpet Area"
"2 BHK Flat in Sector 67A, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1484-sq-ft-spid-Y84108848,Ireo The Corridors,₹2.46 Cr,"₹16,610 /sqft","1,484 sqft (138 sqm) Super Built-up Area"
"2 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-r11-spid-P60878790,Sobha City,₹2.68 Cr,"₹19,406 /sqft","1,381 sqft (128 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-r8-spid-S60862834,Sobha City,₹4.06 Cr,"₹20,269 /sqft","2,003 sqft (186 sqm) Super Built-up Area"
"4 BHK Flat in Sector 112, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-experion-windchants-sector-112-gurgaon-4739-sq-ft-r5-spid-C75782239,Experion Windchants,₹7.76 Cr,"₹16,374 /sqft","4,739 sqft (440 sqm) Super Built-up Area"
"2 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-r7-spid-U67404374,Sobha City,₹2.63 Cr,"₹19,044 /sqft","1,381 sqft (128 sqm) Super Built-up Area"
"2 BHK Flat in Sector 61, Gurgaon",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1200-sq-ft-spid-Q85353686,Smart World Orchard,₹1.7 Cr,"₹14,166 /sqft","1,200 sqft (111 sqm) Carpet Area"
"3 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2104-sq-ft-r1-spid-Z79787759,DLF The Ultima,₹3.9 Cr,"₹18,536 /sqft","2,104 sqft (195 sqm) Super Built-up Area"
"3 BHK Flat in Sector 108, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2343-sq-ft-spid-R84773092,Sobha City,₹4.7 Cr,"₹20,059 /sqft","2,343 sqft (218 sqm) Super Built-up Area"
"4 BHK Flat in Sector 81, Gurgaon",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-ultima-sector-81-gurgaon-2872-sq-ft-spid-G80154685,DLF The Ultima,₹4.9 Cr,"₹17,061 /sqft","2,872 sqft (267 sqm) Super Built-up Area"
"3 BHK Flat in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1495-sq-ft-spid-Z84342894,Smart World Gems,₹1.65 Cr,"₹11,036 /sqft","1,495 sqft (139 sqm) Built-up Area"
"3 BHK Flat in Sector 69, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-violet-sector-69-gurgaon-1578-sq-ft-spid-M84124236,Tulip Violet,₹2.35 Cr,"₹14,860 /sqft","1,578 sqft (147 sqm) Super Built-up Area"
"3 BHK Flat in Sector 102, Gurgaon",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-2579-sq-ft-spid-B84862268,Adani M2K Oyster Grande,₹3.17 Cr,"₹12,291 /sqft","2,579 sqft (240 sqm) Super Built-up Area"
