property_name,society,price_in_cr,price_per_sqft,areawithtype,property_id,link,bedrooms,bathrooms,balcony,additional_room,floor_info,facing,property_age,furnishing_details,features,nearby_location
"4 BHK Flat in Sector 77, Gurgaon",emaar mgf palm hills,2.4,12307,"1,950 sqft (181 sqm) Super Built-up Area",L83484568,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-palm-hills-sector-77-gurgaon-1950-sq-ft-spid-L83484568,4,4,3+,"study room,servant room",2nd   of 9 Floors,south-west,1 to 5 Year Old,"['4 Wardrobe', '7 Fan', '1 Exhaust Fan', '4 Geyser', '27 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Dwarka Expressway', 'Narayana e Techno School', 'DPG Institute of Technology', 'Sohna Road', 'De Adventure Park', 'Indira Gandhi International Airport', 'Medeor Hospital, Manesar', 'Sapphire 83 Mall', 'Hyatt Regency Gurgaon', 'IMT Manesar']"
"2 BHK Flat in Sector 76, Gurgaon",suncity avenue 76,0.87,14905,582 sqft (54 sqm) Carpet Area,U85288064,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-U85288064,2,2,1,others,12nd   of 14 Floors,east,1 to 5 Year Old,"['2 Wardrobe', '3 Fan', '2 Geyser', '8 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['M3M Corner Walk', 'NH 48', 'Gurgaon Rly Station', 'Hyatt Regency Gurugram', 'Nakhrola Stadium', 'CoElevate - DLF Corporate Greens', 'Golden Greens Golf & Resorts', 'Indira Gandhi International Airport', 'Gurugram University', 'Park Hospital', 'Kunskapsskolan International School', 'De Adventure Park - farms']"
"3 BHK Flat in Sector 66, Gurgaon",emaar mgf the palm drive,3.9,20000,"1,950 sqft (181 sqm) Super Built-up Area",R84506068,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-mgf-the-palm-drive-sector-66-gurgaon-1950-sq-ft-spid-R84506068,3,3,2,servant room,7th   of 17 Floors,east,5 to 10 Year Old,"['4 Wardrobe', '1 Water Purifier', '7 Fan', '1 Exhaust Fan', '4 Geyser', '11 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['HUB 66', 'Ashoka International School', 'Vatika Business Centre', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex', 'Indira Gandhi International Airport', 'Gurugram University', 'Park Hospital', 'Sealdah', 'The Oberoi Gurgaon', 'NH 248A', 'Sector 55-56 Rapid Metro Station', 'Hasanpur']"
"3 BHK Flat in Sector 37D, Gurgaon",ramprastha the edge towers,1.44,8977,"1,604 sqft (149 sqm) Super Built-up Area",M84445064,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1604-sq-ft-spid-M84445064,3,3,3,pooja room,8th   of 19 Floors,east,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '10 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Dwarka Express', 'The Esplanade Mall', 'Gurugram Railway Station', 'Aboard Offices Complex', 'Euro International School', 'Narayana Junior College', 'Indira Gandhi International Airport', 'Holiday Inn Hotel', 'Yashroop Hospital']"
"4 BHK Flat in Sector 54, Gurgaon",dlf the belaire,11.55,37683,"3,065 sqft (285 sqm) Super Built-up Area",J84848270,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-belaire-sector-54-gurgaon-3065-sq-ft-spid-J84848270,4,4,3+,servant room,9th   of 30 Floors,east,10+ Year Old,"['4 Wardrobe', '8 Fan', '1 Fridge', '1 Exhaust Fan', '4 Geyser', '10 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Sector 42-43 Metro station', 'IGI Airport', 'Paras Hospital', 'Gurgaon Faridabad Highway', 'DLF Golf and Country Club', 'Golf Course Road', 'Ernst & Young', 'Ibis Hotel', 'Horizon 1 Mall']"
"4 BHK Flat in Sector 57, Gurgaon",ansal harmony homes,2.62,11909,"2,200 sqft (204 sqm) Super Built-up Area",P82334608,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ansal-harmony-homes-sector-57-gurgaon-2200-sq-ft-r1-spid-P82334608,4,3,3,"store room,study room,pooja room",2nd   of 3 Floors,west,10+ Year Old,"['7 Wardrobe', '8 Fan', '1 Exhaust Fan', '3 Geyser', '7 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Unitech Business Park', 'State bank ATM', 'Kamla International', 'Wat-a-Burger', 'Bikanerwala', 'HUDA Office Complex', 'Icici bank ATM', 'Vatsalya Clinic', 'Burger Singh', 'Sushant College of Arts & Architecture', 'HCG CNG Station', 'Ansal Institute of Technology', 'Icici bank', 'Heera Fuel Station', 'Kriti Hospital', 'Sanatan Dharm Mandir', 'Hdfc bank and atm', 'Radhakrishna Shani Mandir', '222', 'pracksht hospital', 'Gurugram University', 'Hdfc bank', 'Hdfc bank & atm', 'Anand Hospital Gurgaon', 'Kotak mahindra bank', 'Medisca', 'Naivedyam Restaurant', 'Pizza Hut', 'Unitech', 'Indusind bank', 'Madison and Pike', 'Hong Kong Bazaar Mall', 'Amity Global School', 'Citi bank ATM', 'IILM', 'Sector metro station', 'Arunodaya Deseret Eye Hospital', 'Axis bank', 'Surgicare Hospital Gurgaon', 'State bank of india', 'Iilm University']"
"3 BHK Flat in Sector 70A, Gurgaon",aipl zen residences,2.99,17557,"1,703 sqft (158 sqm) Super Built-up Area",X84493824,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aipl-zen-residences-sector-70a-gurgaon-1703-sq-ft-spid-X84493824,3,3,3+,others,14th   of 28 Floors,east,1 to 5 Year Old,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '3 Geyser', '8 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Ananta Hospital', 'Airia Mall', 'Southern Peripheral Road', 'Golf Course Ext. Rd.', 'Lemon Tree Hotel, Sohna Road', 'Medanta -The Medicity', 'De Adventure Park', 'Indira Gandhi International Airport', 'Indus World School', 'National Highway 8', 'iON Digital Zone, Gurgaon']"
"3 BHK Flat in Sector 82, Gurgaon",mapsko casa bella,1.76,10414,"1,690 sqft (157 sqm) Super Built-up Area",S84081742,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mapsko-casa-bella-sector-82-gurgaon-1690-sq-ft-spid-S84081742,3,3,3,pooja room,6th   of 25 Floors,west,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '10 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['HUDA Mini Golf Course', 'Pataudi Road', 'Broadways International School', 'DPG Institute of Technology', 'Vatika City Centre Mall', 'Holiday Inn Gurugram', 'Indira Gandhi International Airport', 'SkyJumper Trampoline Park', 'Imt Manesar', 'Sultanpur National Park', 'Aarvy Healthcare']"
"3 BHK Flat in Sector 54, Gurgaon",krishna apartments,2.7,16363,"1,850 sqft (172 sqm) Super Built-up Area",A80776461,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-krishna-apartments-sector-54-gurgaon-1850-sq-ft-spid-A80776461,3,2,3,store room,4th   of 9 Floors,east,10+ Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']","['Clock tower', 'Paras Hospital Gurgaon', 'Apollo Pharmacy', 'State bank ATM', 'Wat-a-Burger', 'Cafe Tonini', 'Indusind bank ATM', 'Bikanerwala', 'HUDA Office Complex', 'Shophouse by Kylin', 'Icici bank ATM', 'Burger Singh', 'Sushant College of Arts & Architecture', 'HCG CNG Station', 'Ansal Institute of Technology', 'Icici bank', 'Heera Fuel Station', 'Kriti Hospital', 'Sanatan Dharm Mandir', 'Hdfc bank and atm', 'Radhakrishna Shani Mandir', '222', 'pracksht hospital', 'Suncity School', 'Starbucks', 'Hdfc bank', 'Hdfc bank & atm', 'Anand Hospital Gurgaon', 'Kotak mahindra bank', 'Medisca', 'Naivedyam Restaurant', 'Pizza Hut', ""Carl's Jr."", 'Sagar Ratna', 'Sector 53-54 metro station', 'Intellion Park', 'Hong Kong Bazaar Mall', 'Indusind bank', 'Sector 54 chowk metro station', 'Citi bank ATM', 'IILM', 'Sector metro station', 'Arunodaya Deseret Eye Hospital', 'Axis bank', 'Surgicare Hospital Gurgaon', 'State bank of india', 'Iilm University', 'Two Horizon Center']"
"3 BHK Flat in Palam Vihar, Gurgaon",bestech park view residency,2.55,13281,"1,920 sqft (178 sqm) Super Built-up Area",V82859638,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-residency-palam-vihar-gurgaon-1920-sq-ft-spid-V82859638,3,4,3+,servant room,10th   of 14 Floors,south-east,10+ Year Old,"['3 Wardrobe', '6 Fan', '6 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Ambience Mall', 'The NorthCap University', 'Gurgaon Railway Station', 'Chirag Hospital', 'Fun N Food Village', 'Indira Gandhi International Airport', 'HUDA Market, Sector 14', 'DLF CyberHub', 'Dwarka Sector 21 Metro Station', 'GAV Public School']"
"3 BHK Flat in Sector 90, Gurgaon",dlf regal gardens,2.1,11931,"1,760 sqft (164 sqm) Super Built-up Area",W84938042,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-regal-gardens-sector-90-gurgaon-1760-sq-ft-spid-W84938042,3,3,3,not available,10th   of 29 Floors,east,5 to 10 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '2 Geyser', '15 Light', '1 Curtains', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Numberdar market, IMT Manesar', 'RPS International School', 'Holiday Inn Gurugram Sector 90', 'HDFC Bank, Pataudi Rd', 'ICICI Bank ATM, Sector 86', 'SS Omnia, Sector 86', 'Minda Industries Nawada Fatehpur', 'Miracles Apollo Cradle Hospital', 'M3M SCO Shop cum Office', 'Canara Bank - Nawada Fatehpur', 'Silver Streak Multi Speciality', 'Aarvy Healthcare Super Speciality', 'RHM Public School', ""Sodhi's Supermarket, Sector 82"", 'State Bank of India']"
"2 BHK Flat in Sector 67A, Gurgaon",ireo the corridors,2.3,15488,"1,485 sqft (138 sqm) Super Built-up Area",M84289252,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-the-corridors-sector-67a-gurgaon-1485-sq-ft-spid-M84289252,2,3,3,study room,5th   of 19 Floors,north,0 to 1 Year Old,"['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '9 Light', '1 TV', '1 Modular Kitchen', '1 Curtains', '5 AC', '1 Chimney', '2 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Fridge', 'No Sofa']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Southern Peripheral Road', 'Huda Metro Station (Gurugram)', 'Radisson Hotel', 'AIPL Business Centre', 'Lemon Tree Hotel, Sohna Road', 'Paras Trinity Mall', 'KIIT College of Engineering', 'De Adventure Park', 'PVR Drive in Theatre', 'Lovely Public School', 'Indira Gandhi International Airport', 'Teri Golf Course']"
"3 BHK Flat in DLF Phase 5, Gurgaon",dlf westend heights,8.11,28267,"2,869 sqft (267 sqm) Super Built-up Area",E32926861,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-westend-heights-dlf-phase-5-gurgaon-2869-sq-ft-r1-spid-E32926861,3,4,3+,"others,servant room",5th   of 19 Floors,north,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Appu Ghar', 'Paras Hospitals', 'Deskriver Business Centre', 'Nehru Stadium', 'Indira Gandhi International Airport', 'DLF Golf Club', 'NH-48', 'South point Mall', 'Sector 42-43 Station', 'Hilton Hotel', 'Heritage International School', 'Gurgaon Station', 'IILM University, Gurugram']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,2.4,19388,"1,689 sqft (157 sqm) Super Built-up Area",J84305928,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-J84305928,3,3,3,pooja room,18th   of 36 Floors,east,1 to 5 Year Old,"['3 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Gurugram Global Heights School', 'SGT University', 'Dwarka Expressway', 'The Esplanade Mall', 'Gurgaon Railway Station', 'Medanta Hospital', 'Appu Ghar Amusement Park', 'Indira Gandhi International Airport', 'Taj City Centre Gurugram', 'Orient Bestech Business Tower']"
"3 BHK Flat in Sector 61, Gurgaon",smart world orchard,2.7,18620,"1,626 sqft (151 sqm) Super Built-up Area",Y84228358,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1626-sq-ft-spid-Y84228358,3,3,3,"study room,others",2nd   of 4 Floors,north-east,1 to 5 Year Old,"['5 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '3 Geyser', '11 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Tau Devi Lal Athletic Stadium', 'Grand Hyatt Gurgaon', 'Airia Mall', 'Shalom Presidency School', 'Gurugram Railway Station', 'Sushant University', 'Marengo Asia Hospitals, Gurugram', 'Magnum Global Park', 'Sector 55-56 Metro Station', 'Sohna Road', 'Indira Gandhi International Airport', 'Skyline Golf', 'Appu Ghar']"
"3 BHK Flat in Sector 70A, Gurgaon",paras irene,2.72,14863,"1,830 sqft (170 sqm) Built-up Area",X83049036,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-irene-sector-70a-gurgaon-1830-sq-ft-spid-X83049036,3,2,3,not available,4th   of 20 Floors,east,5 to 10 Year Old,"['4 Wardrobe', '4 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Pragyanam - School', 'Bhondsi Nature Park', 'Airia Mall', 'Aravali Horse Riding Club', 'Holiday Inn Gurugram Sector 90', 'W Pratiksha Hospital', 'DPG Institute of Technology', 'Golf Course Ext Rd', 'De Adventure Park', 'PVR Drive in Theatre', 'Golden Greens Golf & Resorts', 'Indira Gandhi International Airport', 'NH-8', 'F9 Go Karting Gurgaon', 'IMT Manesar']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,1.97,14182,"1,389 sqft (129 sqm) Super Built-up Area",J85301930,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1389-sq-ft-spid-J85301930,3,2,2,store room,18th   of 36 Floors,north-east,0 to 1 Year Old,"['4 Fan', '1 Exhaust Fan', '10 Light', '1 Chimney', '1 Modular Kitchen', '4 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Gurugram Global Heights School', 'SGT University', 'Dwarka Expressway', 'The Esplanade Mall', 'Gurgaon Railway Station', 'Medanta Hospital', 'Appu Ghar Amusement Park', 'Indira Gandhi International Airport', 'Taj City Centre Gurugram', 'Orient Bestech Business Tower']"
"3 BHK Flat in Sector 104, Gurgaon",hero homes,1.9,13980,"1,359 sqft (126 sqm) Super Built-up Area",Q85299480,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1359-sq-ft-spid-Q85299480,3,2,2,store room,18th   of 36 Floors,east,0 to 1 Year Old,"['4 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', '4 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Gurugram Global Heights School', 'SGT University', 'Dwarka Expressway', 'The Esplanade Mall', 'Gurgaon Railway Station', 'Medanta Hospital', 'Appu Ghar Amusement Park', 'Indira Gandhi International Airport', 'Taj City Centre Gurugram', 'Orient Bestech Business Tower']"
"2 BHK Flat in Sector 104, Gurgaon",hero homes,1.55,14103,"1,099 sqft (102 sqm) Super Built-up Area",V85298022,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1099-sq-ft-spid-V85298022,2,2,2,store room,28th   of 36 Floors,east,0 to 1 Year Old,"['3 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', '3 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Gurugram Global Heights School', 'SGT University', 'Dwarka Expressway', 'The Esplanade Mall', 'Gurgaon Railway Station', 'Medanta Hospital', 'Appu Ghar Amusement Park', 'Indira Gandhi International Airport', 'Taj City Centre Gurugram', 'Orient Bestech Business Tower']"
