property_id,property_type,link,society,sector,price_in_cr,price_per_sqft,areawithtype,plot_area,super_built_up_area,built_up_area,carpet_area,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,features,luxury_score
V84006790,Flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mahindra-aura-sector-110-a-gurgaon-990-sq-ft-spid-V84006790,mahindra aura,sector 110,1.4,14141.0,990 sqft (92 sqm) Super Built-up Area,,990.0,,,2,2,2,8,0,0,0,0,0,north,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",0.12754653792423462
U84297540,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-palam-vihar-gurgaon-3402-sq-ft-spid-U84297540,"Palam Vihar, Gurgaon",sector 1,3.3,9700.0,"3,402 sqft (316 sqm) Built-up Area",,,3402.0,,4,4,2,2,0,1,0,0,1,north,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'No open drainage around', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",0.2493628396354255
E85545028,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-independent-floors-at-dlf-city-phase-4-dlf-phase-4-gurgaon-3240-sq-ft-spid-E85545028,Independent Floors at DLF City Phase 4,sector 28,4.2,12963.0,"3,240 sqft (301 sqm) Carpet Area",,,,3240.0,4,4,2,2,0,0,0,0,0,north-east,Unfurnished,New Property,,0.0
N84876192,Flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lotus-elise-sector-99-gurgaon-1450-sq-ft-spid-N84876192,lotus elise,sector 99,1.59,10965.0,"1,450 sqft (135 sqm) Super Built-up Area",,1450.0,,,2,2,2,10,0,0,0,0,0,north,Unfurnished,New Property,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",0.7035177481526577
J84759266,Independent House,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-52-gurgaon-1836-sq-ft-spid-J84759266,"Sector 52, Gurgaon",sector 52,10.5,57189.0,1836 sqft (170.57 sqm) Plot Area,1836.0,,,,12,12,2,4,0,0,0,1,0,east,Unfurnished,New Property,"['Water Storage', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting']",0.7429700547868098
F82304554,Independent House,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-phase-2-gurgaon-963-sq-ft-spid-F82304554,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.72,7479.0,963 sqft (89.43 sqm) Plot Area,963.0,,,,5,2,2,2,0,0,0,0,1,not available,Unfurnished,Moderately Old,,0.0
E84857546,Independent House,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-om-nagar-gurgaon-68-sq-ft-spid-E84857546,"Om Nagar, Gurgaon",sector 11,1.6,235294.0,68 sqft (6.32 sqm) Plot Area,68.0,,,,10,10,3+,5,0,0,0,0,0,not available,Unfurnished,Relatively New,,0.0
S76654685,Flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-S76654685,ats triumph,sector 104,3.85,12222.0,"3,150 sqft (293 sqm) Super Built-up Area",,3150.0,,,4,4,3+,8,0,1,0,0,0,east,Unfurnished,Relatively New,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1.241077710345214
U83968748,Independent House,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-2367-sq-ft-spid-U83968748,Sector 40,sector 40,7.3,30841.0,2367 sqft (219.9 sqm) Plot Area,2367.0,,,,8,8,3,3,0,0,0,0,0,north-east,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']",1.1321018057836745
E84630908,Independent House,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-satya-the-legend-sector-57-gurgaon-6498-sq-ft-spid-E84630908,Satya The Legend,sector 57,17.0,26162.0,6498 sqft (603.68 sqm) Plot Area,6498.0,,,,6,8,3+,3,1,1,1,1,0,north-east,Furnished,Relatively New,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
